Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
128.0,3.8802,5.00038147,0.1622,3.7077
129.0,3.8801,4.99977112,0.1621,3.7077
130.0,3.8799,5.00022888,0.1621,3.7077
131.0,3.8798,5.00007629,0.1619,3.7077
132.0,3.8795,4.99961853,0.1621,3.7074
133.0,3.8791,5.00068665,0.1619,3.7072
134.0,3.8793,4.99946594,0.1619,3.7071
135.0,3.8788,5.00038147,0.1616,3.7071
136.0,3.8784,4.99977112,0.1618,3.7069
137.0,3.8782,5.00022888,0.1616,3.7066
138.0,3.8782,5.00083923,0.1618,3.7066
139.0,3.8781,4.99946594,0.1616,3.7063
140.0,3.8778,5.00007629,0.1616,3.7063
141.0,3.8775,5.00038147,0.1615,3.706
142.0,3.8775,4.99961853,0.1615,3.7058
143.0,3.877,4.99992371,0.1615,3.7058
144.0,3.877,5.00038147,0.1613,3.7057
145.0,3.8769,4.99977112,0.1613,3.7055
146.0,3.8766,5.00068665,0.161,3.7053
147.0,3.8764,4.99992371,0.161,3.7052
148.0,3.8761,4.99992371,0.1611,3.7052
149.0,3.8759,5.00083923,0.1608,3.705
149.28999999999724,3.8759,5.00038147,0.1608,3.705
