Capacity [A.h],Voltage [V]
4.91244057475515,0.07719864
4.8936143999642,0.081018552
4.87478825031898,0.082928501
4.85596203511644,0.084208168
4.83713587955915,0.085812531
4.81830972326781,0.086920306
4.79948353058275,0.0871877
4.78065732171965,0.088104479
4.76183112392703,0.088792063
4.74300500653332,0.089002155
4.72417878588073,0.089250453
4.70535268736824,0.089517847
4.68652647528038,0.089880735
4.66770036394222,0.090205424
4.64887423546846,0.090148129
4.63004816050294,0.090300925
4.61122206620354,0.090606518
4.59239588852838,0.091274999
4.57356970397148,0.090797514
4.55474345438311,0.09081661
4.53591716410819,0.091504194
4.51709091780583,0.090721115
4.49826471582032,0.091026708
4.47943846735653,0.091084003
4.4606122014071,0.091943488
4.44178590064786,0.091465995
4.42295968009534,0.091026708
4.40413339855078,0.092382774
4.38530711916241,0.091886185
4.36648083656943,0.091370501
4.34765456073606,0.091370501
4.32882832000991,0.091504194
4.3100020096284,0.091446899
4.29117563124993,0.092344575
4.27234928296477,0.091809787
4.25352294974853,0.091924384
4.23469670369449,0.092191778
4.21587043323643,0.092249081
4.19704413744189,0.091752492
4.17821778373594,0.091809787
4.15939145272628,0.092077181
4.14056514490208,0.091886185
4.12173883377492,0.091637895
4.10291248688276,0.092172682
4.08408622467083,0.092134483
4.06525987381885,0.092497371
4.04643353364768,0.091847986
4.02760725326517,0.09228728
4.008780999212,0.092879362
3.98995468148366,0.092153579
3.97112834980293,0.092249081
3.95230212204472,0.092249081
3.93347578530909,0.09211538
3.91464951240408,0.09282206
3.89582326841642,0.092459172
3.87699700695299,0.092382774
3.85817065703115,0.092306376
3.83934436122887,0.092000782
3.82051804136409,0.092249081
3.80169170238996,0.092669263
3.78286535564821,0.092764765
3.76403896220134,0.092096284
3.74521257928787,0.092229977
3.72638625654659,0.093471445
3.70755990895357,0.092802964
3.68873355633411,0.092745662
3.66990724763262,0.092745662
3.65108087740658,0.093815237
3.63225453924793,0.092841163
3.61342821785121,0.092344575
3.59460183234217,0.093032159
3.57577555508186,0.09324225
3.55694920227911,0.092745662
3.53812289410044,0.09324225
3.51929663238504,0.09282206
3.5004703330877,0.093337752
3.48164402232456,0.09457922
3.4628177760316,0.09475112
3.44399145598418,0.092459172
3.42516518291219,0.093184955
3.40633889812536,0.092554666
3.3875125372251,0.094254531
3.36868629325713,0.092974856
3.34986000166328,0.093547843
3.33103373733026,0.094254531
3.31220745591991,0.09570609
3.29338117067456,0.094521925
3.27455489509574,0.092936657
3.25572861997913,0.096393675
3.23690237625434,0.09429273
3.21807608955573,0.093853436
3.19924982899626,0.096661068
3.18042357497758,0.096680172
3.16159733157415,0.097616047
3.14277117082528,0.095610596
3.12394497492316,0.0954578
3.10511870254567,0.096259981
3.08629250391891,0.098513722
3.06746631260093,0.09876202
3.04864004085536,0.099774294
3.02981381050097,0.10596254
3.01098762645691,0.111998
2.99216143409396,0.11022174
2.97333524953786,0.11119582
2.95450908581326,0.11640999
2.93568287336244,0.11946592
2.91685679358842,0.12133767
2.89803061737861,0.1241262
2.87920441919403,0.12567326
2.8603783289168,0.12571147
2.84155216302224,0.12701023
2.82272588967352,0.1282708
2.80389947933751,0.12884378
2.78507308681872,0.12880559
2.76624668328036,0.12951227
2.74742028407283,0.12981786
2.72859394517424,0.13071555
2.70976769256615,0.13012345
2.69094134062422,0.13033356
2.67211503333536,0.13142222
2.6532886860811,0.13077284
2.63446243883722,0.13199522
2.61563609425787,0.13165142
2.59680976237129,0.13126943
2.57798343488625,0.13205251
2.55915713802753,0.1320143
2.54033082686581,0.1324154
2.52150449710644,0.13163231
2.50267817028478,0.13197611
2.48385185531954,0.13199522
2.46502551973953,0.13176602
2.44619923136531,0.1323581
2.42737297354677,0.13287379
2.40854662354913,0.13254909
2.3897202858593,0.13331307
2.37089394479984,0.13210981
2.35206766738797,0.13272099
2.33324141683366,0.1322626
2.3144151649548,0.13308388
2.29558890016746,0.13304569
2.27676257892321,0.1325873
2.25793639607955,0.1324345
2.23911017555733,0.13321759
2.22028391941016,0.13314119
2.20145761625302,0.13346587
2.18263138444102,0.13325578
2.16380510641539,0.13342768
2.14497888983897,0.13365687
2.12615270790511,0.13375238
2.10732652672971,0.13361867
2.08850028642774,0.13386697
2.06967400914054,0.13510844
2.05084778912684,0.13407706
2.03202163605889,0.13466914
2.01319543064873,0.13386697
1.99436922069319,0.13430625
1.97554303083018,0.13369507
1.95671680230977,0.13495564
1.93789056903916,0.13529943
1.91906433547688,0.13518484
1.90023815201034,0.13478374
1.8814120029096,0.13539493
1.86258573852821,0.13698019
1.84375954006625,0.13755317
1.8249333661754,0.13814527
1.80610713710714,0.13822167
1.7872809445368,0.13845086
1.76845476271331,0.13927214
1.74962858864999,0.13971142
1.73080240655104,0.14125849
1.71197619403842,0.14144948
1.69314998107524,0.14221346
1.67432368368665,0.14334033
1.65549744792021,0.1448683
1.63667122387784,0.14580418
1.61784493779964,0.14779054
1.59901863018077,0.1490702
1.58019235129811,0.14960499
1.56136607481953,0.15233622
1.54253986495005,0.1531575
1.52371361691564,0.15506746
1.50488739855023,0.15718751
1.486061150158,0.15848628
1.46723491776999,0.16005243
1.44840868159336,0.16161859
1.42958247252415,0.16286007
1.41075623372412,0.16498011
1.3919301310255,0.16604969
1.37310394923237,0.16776864
1.35427779229144,0.17011788
1.3354515627888,0.17208514
1.31662540441034,0.17481637
1.29779922097007,0.1780251
1.27897304712288,0.18123382
1.26014692202325,0.18440434
1.24132077677065,0.18767036
1.22249458621069,0.1903061
1.20366843733732,0.19280814
1.18484233560155,0.19527198
1.16601629564742,0.19947387
1.14719017041243,0.20333199
1.12836409150615,0.20730469
1.10953791829375,0.21060891
1.09071176664763,0.21337834
1.07188564962135,0.21439062
1.05305954294997,0.2154602
1.03423330318226,0.21599498
1.0154070917703,0.21630058
0.996580984763824,0.21710275
0.977754931855765,0.21801953
0.958928812256828,0.21838242
0.940102735626419,0.21855432
0.921276598002343,0.21807683
0.902450460050963,0.21910821
0.883624327495148,0.2191655
0.864798289467673,0.22013958
0.845972181409379,0.22076987
0.827146022032894,0.22119005
0.80831994222188,0.22245063
0.789493872276986,0.22525826
0.770667840481522,0.22837149
0.751841791472952,0.23482713
0.733015717658653,0.24256244
0.714189596306082,0.24691713
0.695363589848736,0.25570291
0.676537523378986,0.25944641
0.657711393237475,0.26233044
0.638885283125505,0.27527994
0.620059204861712,0.28211758
0.60123307516711,0.2851162
0.582406949050297,0.29147634
0.563580877989592,0.30154181
0.544754819627485,0.31275323
0.525928701126765,0.32106152
0.507102574183659,0.32938892
0.488276515664601,0.34359899
0.469450463740401,0.35477221
0.450624356016282,0.36285132
0.431798244682446,0.36982265
0.412971957720526,0.39411727
0.394145630972647,0.40888122
0.375319367731617,0.40855652
0.356493079795419,0.4336915
0.33766681179477,0.42842004
0.318840546906558,0.45599976
0.300014260729715,0.45179787
0.281187988511683,0.47080192
0.262361803532107,0.4797214
0.243535527314992,0.50246894
0.22470926780308,0.50628883
0.205882929395134,0.51837885
0.187056651674253,0.54637879
0.168230415808725,0.55743742
0.149404162437542,0.57783568
