Capacity [A.h],Voltage [V]
0.582406949050297,3.6029096
0.563580877989592,3.6007509
0.544754819627485,3.5984204
0.525928701126765,3.5962236
0.507102574183659,3.5942369
0.488276515664601,3.591887
0.469450463740401,3.5895755
0.450624356016282,3.5875316
0.431798244682446,3.5859842
0.412971957720526,3.5834436
0.394145630972647,3.5808647
0.375319367731617,3.5794702
0.356493079795419,3.5766046
0.33766681179477,3.5755732
0.318840546906558,3.5726695
0.300014260729715,3.5715997
0.281187988511683,3.5694792
0.262361803532107,3.5676072
0.243535527314992,3.5651047
0.22470926780308,3.5634809
0.205882929395134,3.5621436
0.187056651674253,3.5598512
0.168230415808725,3.5583229
0.149404162437542,3.5567756
