Capacity [A.h],Voltage [V]
0.955934241185238,3.5403616
0.953191527175127,3.5440676
0.950448759179428,3.5470095
0.947705938074885,3.5497413
0.9449631228662,3.5523012
0.942220310810738,3.5546126
0.93947754392844,3.5570579
0.936734750787434,3.5592737
0.933991947009513,3.5614705
0.931249161122445,3.5634191
0.928506371042015,3.5656159
0.925763584191097,3.5676982
0.923020779865782,3.5700288
0.92027802487276,3.5721302
0.917535233327852,3.5741932
0.914792413863964,3.5763519
0.912049609609035,3.5784914
0.90930676973394,3.5806694
0.906563943048927,3.5829618
0.903821126563672,3.5850821
0.901078320007584,3.5873172
0.898335513733656,3.5896287
0.895592669524663,3.5920167
0.89284987630756,3.5942516
0.890107024937074,3.5963721
0.887364249281065,3.5987601
0.884621441157714,3.601186
0.881878631616301,3.6034403
0.879135760978394,3.6059237
0.876392986548692,3.608216
0.873650121554748,3.6106422
0.870907251221768,3.6130109
0.868164417353948,3.6155326
0.865421593581571,3.6179779
0.862678806647653,3.6204231
0.859936025389928,3.6227727
0.857193231599993,3.6252561
0.854450364825483,3.6277394
0.851707508374693,3.6301084
0.848964721082022,3.6326683
0.846221945484858,3.6350942
0.84347910003192,3.6375585
0.840736267947623,3.6400421
0.837993417443409,3.6424108
0.835250534599402,3.6449132
0.832507758994563,3.6475303
0.829764962970911,3.6499565
0.827022140782449,3.6523635
0.824279281050577,3.654866
0.821536486247893,3.6572921
0.818793640264369,3.659833
0.816050820569446,3.6622972
0.813307976001967,3.6644368
0.810565104230583,3.6669583
0.807822291871552,3.6694417
0.805079447336664,3.6717532
0.802336600113623,3.6740456
0.799593785603933,3.6763761
0.796850948210868,3.6786685
0.794108133852339,3.6810565
0.791365320506164,3.6832342
0.788622446824894,3.6855266
0.785879605419461,3.6877618
0.78313679403351,3.6897867
0.780393976420442,3.6920216
0.777651149236188,3.6942377
0.774908307011877,3.6964345
0.772165473021682,3.6984212
0.769422665325366,3.700618
0.766679834102096,3.7027385
0.763937021120671,3.7046299
0.761194222111092,3.7068648
0.758451409442031,3.7087944
0.755708636405806,3.7109911
0.752965853601028,3.7129016
0.750223049380407,3.7149456
0.747480238818156,3.7169323
0.744737439518433,3.7188044
0.741994678226243,3.720753
0.739251824848559,3.722625
0.736509036929188,3.7248027
0.733766248733976,3.7267513
0.731023391973656,3.7287571
