Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
157787.6449,3.5256963,0.0,0.1774565,3.7031527
157787.6933,3.5256007,-4.2100000000000005e-10,0.17747559,3.7030764
157787.6951,3.5183156,-0.000127138579,0.18030141,3.698617
157787.6955,3.5158465,-0.001150012842,0.18100674,3.6968532
157787.6977,3.5146823,-0.001149999491,0.1813885,3.6960707
157787.7555,3.5135939,-0.0011500108140000001,0.1812167,3.6948106
157789.2281,3.5125823,-0.001150015204,0.18156028,3.6941426
157791.8969,3.5115323,-0.0011500237790000002,0.18194203,3.6934743
157795.8919,3.5104442,-0.001150032862,0.18245739,3.6929016
157800.0295,3.5093944,-0.00115003407,0.18280096,3.6921954
157804.7739,3.5083447,-0.001150036096,0.18327814,3.6916227
157810.3129,3.5073328,-0.0011500401090000002,0.18369806,3.691031
157815.2611,3.5062068,-0.001150040743,0.18415616,3.6903629
157821.4813,3.5051949,-0.0011500418699999999,0.18472877,3.6899238
157826.9193,3.5041833,-0.001150043452,0.18507235,3.6892557
157834.0563,3.5031526,-0.001150045963,0.18560679,3.6887593
157840.2919,3.5021408,-0.001150044893,0.18614124,3.688282
157847.4261,3.501091,-0.001150044536,0.18652299,3.687614
157854.8099,3.5000792,-0.001150044299,0.18701926,3.6870985
157862.0019,3.4990103,-0.001150046634,0.18749644,3.6865067
157870.9775,3.4979987,-0.001150050372,0.18797362,3.6859722
157878.7739,3.4969678,-0.001150049804,0.18843172,3.6853995
157887.5449,3.4959562,-0.0011500522070000002,0.18911886,3.685075
157897.3661,3.4949253,-0.001150051439,0.18963422,3.6845596
157907.0701,3.4938567,-0.001150049121,0.19020684,3.6840634
157918.0069,3.4928257,-0.0011500497700000002,0.19066495,3.6834908
157928.3643,3.4917378,-0.001150050436,0.19125664,3.6829944
157940.3165,3.4907069,-0.001150052561,0.19181018,3.6825171
157952.6983,3.4896951,-0.001150051,0.19234462,3.6820397
157965.5037,3.4886072,-0.001150051809,0.19295542,3.6815627
157979.6451,3.4875574,-0.001150054655,0.19347078,3.6810281
157995.1147,3.4865458,-0.001150050825,0.19410066,3.6806464
158010.4845,3.4855149,-0.001150049103,0.19455875,3.6800737
