Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
776,20137.68,3.9388,5.001297,0.4637,4.5281
777,20138.04,3.9278,5.00007629,0.5632,4.473
778,20139.12,3.9188,5.00007629,0.5695,4.4676
779,20140.2,3.9135,5.00007629,0.5716,4.4632
780,20141.28,3.9089,5.00022888,0.5732,4.4603
781,20142.36,3.9055,5.00038147,0.5741,4.4579
782,20143.08,3.9023,4.99992371,0.5751,4.456
783,20144.16,3.8994,4.99977112,0.5757,4.4543
784,20145.24,3.8973,5.00038147,0.5765,4.4524
785,20146.32,3.8949,5.00007629,0.577,4.4506
786,20147.04,3.8927,4.99992371,0.5778,4.449
787,20148.12,3.8911,5.00007629,0.5783,4.4476
788,20149.2,3.8895,5.00022888,0.5783,4.4462
789,20150.28,3.8878,5.00022888,0.5786,4.4444
790,20151.36,3.8863,5.00007629,0.5787,4.4435
791,20152.08,3.8848,5.00038147,0.5792,4.4423
792,20153.16,3.8834,5.00007629,0.5794,4.4416
793,20154.24,3.8825,5.00022888,0.58,4.4404
794,20155.32,3.881,5.00007629,0.58,4.4396
795,20156.04,3.8801,4.99992371,0.58,4.4388
796,20157.12,3.8788,5.00022888,0.5806,4.4377
797,20158.2,3.8781,5.00053406,0.5805,4.4373
798,20159.28,3.877,5.00022888,0.581,4.4363
799,20160.36,3.8759,4.99992371,0.5811,4.436
800,20161.08,3.8749,4.99931335,0.5816,4.4352
801,20162.16,3.8741,5.00007629,0.5818,4.4347
802,20163.24,3.873,4.99961853,0.5821,4.4339
803,20164.32,3.8724,4.99961853,0.5824,4.4331
804,20165.04,3.8715,4.99992371,0.5822,4.4326
805,20166.12,3.8706,5.00022888,0.5826,4.4314
806,20167.2,3.8698,4.99992371,0.5826,4.4312
807,20168.28,3.8691,4.99961853,0.5827,4.4307
808,20169.36,3.8685,4.99977112,0.583,4.4303
809,20170.08,3.8677,5.00038147,0.5832,4.4296
810,20171.16,3.8671,5.00007629,0.5837,4.4295
811,20172.24,3.8663,5.00007629,0.5835,4.4288
812,20173.32,3.8656,4.99992371,0.5838,4.4287
813,20174.04,3.865,4.99961853,0.5841,4.428
814,20175.12,3.8642,4.99992371,0.5841,4.4274
815,20176.2,3.8636,5.00007629,0.5845,4.4269
816,20177.28,3.863,5.00038147,0.5846,4.4266
817,20178.36,3.8624,4.99992371,0.5848,4.4263
818,20179.08,3.8618,4.99992371,0.5851,4.4258
819,20180.16,3.861,4.99992371,0.5853,4.4253
820,20181.24,3.8605,4.99977112,0.5854,4.4252
821,20182.32,3.8599,5.00022888,0.5856,4.4242
822,20183.04,3.8593,5.00007629,0.5856,4.4241
823,20184.12,3.8585,4.99992371,0.5857,4.4237
824,20185.2,3.8581,4.99977112,0.5861,4.4233
825,20186.28,3.8575,5.00022888,0.5862,4.4229
826,20187.36,3.8569,5.00007629,0.5864,4.4226
827,20188.08,3.8564,4.99977112,0.5864,4.4221
828,20189.16,3.8558,5.00007629,0.5867,4.4217
829,20190.24,3.8553,4.99946594,0.587,4.4215
830,20191.32,3.8547,5.00022888,0.5872,4.4209
831,20192.04,3.8543,5.00053406,0.5873,4.4206
832,20193.12,3.8534,4.99992371,0.5875,4.4202
833,20194.2,3.8529,4.99977112,0.5876,4.4201
834,20195.28,3.8526,5.00038147,0.5878,4.4198
835,20196.36,3.852,5.00022888,0.5881,4.4193
836,20197.08,3.8514,5.00007629,0.5881,4.4188
837,20198.16,3.8508,4.99977112,0.5883,4.4185
838,20199.24,3.8503,5.00022888,0.5883,4.418
839,20200.32,3.8499,5.00022888,0.5886,4.4179
840,20201.04,3.8492,4.99977112,0.5889,4.4175
841,20202.12,3.8488,5.00007629,0.5889,4.4171
842,20203.2,3.8482,4.99977112,0.5892,4.4169
843,20204.28,3.8477,4.99961853,0.5891,4.4164
844,20205.36,3.8474,5.00007629,0.5892,4.4161
845,20206.08,3.8466,4.99977112,0.5896,4.4159
846,20207.16,3.8463,5.00038147,0.5896,4.4156
847,20208.24,3.8456,5.00038147,0.5897,4.4153
848,20209.32,3.8451,5.00007629,0.59,4.4148
849,20210.04,3.8448,4.99977112,0.59,4.4142
850,20211.12,3.8445,5.00007629,0.5902,4.4142
851,20212.2,3.8437,5.00038147,0.59,4.4137
852,20213.28,3.8434,4.99977112,0.5905,4.4136
853,20214.36,3.8428,4.99992371,0.5903,4.4132
854,20215.08,3.8425,5.00007629,0.5908,4.4129
855,20216.16,3.8419,4.99977112,0.5907,4.4128
856,20217.24,3.8416,5.00038147,0.591,4.4124
857,20218.32,3.8412,4.99992371,0.591,4.4121
858,20219.04,3.8407,5.00007629,0.5911,4.4117
859,20220.12,3.8402,4.99992371,0.591,4.4115
860,20221.2,3.8401,5.00007629,0.5907,4.4104
861,20222.28,3.8398,4.99977112,0.5908,4.4102
862,20223.36,3.8392,5.00038147,0.5908,4.4102
863,20224.08,3.8389,4.99992371,0.591,4.4097
864,20225.16,3.8386,5.00007629,0.5913,4.4099
865,20226.24,3.8381,4.99992371,0.5915,4.4094
866,20227.32,3.8376,5.00053406,0.5918,4.4096
867,20228.04,3.8373,4.99961853,0.5921,4.4091
868,20229.12,3.837,5.00007629,0.5921,4.4091
869,20230.2,3.8366,4.99992371,0.5924,4.4086
870,20231.28,3.8361,5.00022888,0.5923,4.4088
871,20232.36,3.8357,4.99977112,0.5927,4.4083
872,20233.08,3.8355,4.99961853,0.5927,4.4082
873,20234.16,3.835,4.99992371,0.5927,4.4082
874,20235.24,3.8344,4.99977112,0.5931,4.4078
875,20236.32,3.8343,5.00007629,0.5932,4.4077
876,20237.04,3.8338,4.99992371,0.5934,4.4075
877,20238.12,3.8335,5.00007629,0.5935,4.4077
878,20239.2,3.8332,4.99992371,0.5938,4.407
879,20240.28,3.8328,5.00007629,0.594,4.4069
880,20241.36,3.8326,4.99977112,0.594,4.4069
881,20242.08,3.8322,4.99977112,0.594,4.4067
882,20243.16,3.832,5.00022888,0.5943,4.4064
883,20244.24,3.8315,4.99931335,0.5943,4.4064
884,20245.32,3.8311,4.99977112,0.5945,4.4061
885,20246.04,3.8308,4.99977112,0.5946,4.4056
886,20247.12,3.8305,5.00022888,0.5946,4.4058
887,20248.2,3.8302,4.99946594,0.595,4.4056
888,20249.28,3.8297,5.00007629,0.595,4.4053
889,20250.36,3.8296,5.00038147,0.5953,4.4051
890,20251.08,3.8291,5.00007629,0.5951,4.405
891,20252.16,3.8288,4.99992371,0.5953,4.4045
892,20253.24,3.8285,5.00022888,0.5953,4.4045
893,20254.32,3.8283,4.99992371,0.5954,4.4037
894,20255.04,3.8277,5.00022888,0.5953,4.4039
895,20256.12,3.8277,5.00007629,0.5956,4.4034
896,20257.2,3.8274,5.00007629,0.5958,4.4034
897,20258.28,3.8268,5.00007629,0.5959,4.4031
898,20259.36,3.8265,5.00007629,0.5961,4.4031
899,20260.08,3.8262,4.99977112,0.5961,4.4029
900,20261.16,3.8257,4.99992371,0.5962,4.4029
901,20262.24,3.8256,5.00022888,0.5964,4.4027
902,20263.32,3.8251,4.99992371,0.5966,4.4023
903,20264.04,3.825,5.00007629,0.5969,4.4026
904,20265.12,3.8244,4.99961853,0.5973,4.4023
905,20266.2,3.8241,5.00053406,0.5973,4.4023
906,20267.28,3.8238,5.00022888,0.5977,4.4019
907,20268.36,3.8235,4.99992371,0.5978,4.4023
908,20269.08,3.8233,5.00007629,0.5978,4.4021
909,20270.16,3.823,4.99977112,0.5981,4.4016
910,20271.24,3.8227,5.00022888,0.598,4.4016
911,20272.32,3.8222,4.99992371,0.5985,4.4013
912,20273.04,3.8221,4.99961853,0.5985,4.4015
913,20274.12,3.8218,4.99992371,0.5985,4.4012
914,20275.2,3.8213,4.99992371,0.5988,4.401
915,20276.28,3.8213,5.00022888,0.5988,4.4007
916,20277.36,3.8207,5.00022888,0.5989,4.4007
917,20278.08,3.8204,4.99992371,0.5988,4.4005
918,20279.16,3.8201,4.99977112,0.5991,4.4004
919,20280.24,3.8198,5.00007629,0.5991,4.4004
920,20281.32,3.8193,5.00083923,0.5994,4.3999
921,20282.04,3.8192,4.99992371,0.5996,4.3997
922,20283.12,3.8187,4.99977112,0.5996,4.3997
923,20284.2,3.8186,4.99946594,0.5997,4.3996
