Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
105749.3767,4.1476388,0.0,0.090112835,4.2377515
105809.3769,4.1477342,0.0,0.090017401,4.2377515
105869.3771,4.1477723,0.0,0.089998312,4.2377706
105927.2243,4.1478105,0.0,0.089998312,4.2378087
105927.2727,4.1475816,-5.79e-10,0.089998312,4.2375798
105927.2745,4.1404185,-0.000127144307,0.092113525,4.232532
105927.2747,4.1390557,-0.001150051658,0.093235917,4.2322917
105927.2751,4.1376362,-0.0011500039150000002,0.093624912,4.2312613
105927.2781,4.136529,-0.001150001341,0.093911216,4.2304401
105927.2879,4.1354985,-0.00115001642,0.093892135,4.2293906
105927.3049,4.1344862,-0.001150017085,0.093643993,4.2281303
105927.3357,4.1333985,-0.001150010764,0.093491301,4.2268896
105927.4117,4.1323485,-0.001150012847,0.09305229,4.2254009
105927.7319,4.1313367,-0.0011500133610000002,0.092937768,4.2242746
105928.9733,4.1302867,-0.001150017004,0.093109548,4.2233963
105931.7437,4.1292562,-0.0011500256900000001,0.093434036,4.2226901
105934.6255,4.1282058,-0.0011500337570000002,0.09368217,4.2218881
105938.1625,4.1271372,-0.0011500392880000002,0.093911216,4.2210484
105942.5011,4.1261067,-0.001150041083,0.094159357,4.2202659
105946.8757,4.1250944,-0.0011500445859999998,0.094522014,4.2196164
105951.1983,4.124083,-0.001150046152,0.094655626,4.2187386
105956.2436,4.1230712,-0.0011500465580000002,0.094941936,4.2180133
105961.478,4.1220598,-0.001150047157,0.095323682,4.2173834
105966.6396,4.1210475,-0.001150047361,0.095514558,4.2165623
105972.497,4.1199598,-0.00115005005,0.095762692,4.2157226
105979.0942,4.1189098,-0.001150049452,0.096068092,4.2149777
105985.789,4.1178789,-0.001150047918,0.096392572,4.2142715
105992.4746,4.1168675,-0.00115005004,0.096640706,4.2135081
106000.2172,4.1158175,-0.001150052382,0.096984282,4.2128019
106007.8922,4.1147866,-0.001150053228,0.097194239,4.2119808
106016.16,4.1137748,-0.001150054243,0.097537816,4.2113128
106023.9904,4.1127062,-0.001150055298,0.097805038,4.2105112
106032.086,4.1116753,-0.001150053932,0.098091349,4.2097664
106042.0054,4.1106443,-0.001150052737,0.09837766,4.209022
106052.2938,4.109633,-0.001150053326,0.098663963,4.2082968
106061.8886,4.1085825,-0.001150052902,0.098931186,4.2075138
106073.2132,4.1075711,-0.0011500526570000001,0.099141151,4.2067122
106083.8792,4.1065593,-0.001150053373,0.099503808,4.2060633
106095.2872,4.1055093,-0.001150052783,0.099713773,4.2052231
106108.1922,4.1044788,-0.001150051157,0.10001916,4.2044978
106120.9614,4.103467,-0.0011500532189999998,0.10021004,4.2036772
106134.7404,4.1023979,-0.001150052239,0.10047726,4.2028751
106150.4386,4.1013675,-0.001150051022,0.1007254,4.2020926
106164.3488,4.1003551,-0.00115005129,0.10097353,4.2013288
106180.0496,4.0993247,-0.00115005329,0.10104989,4.2003746
106196.9132,4.0982943,-0.001150053623,0.1013362,4.1996303
106214.026,4.0972247,-0.001150056526,0.10156524,4.1987901
106232.502,4.0962133,-0.001150052367,0.10173703,4.1979504
106252.8772,4.0951633,-0.001150054266,0.10187064,4.1970339
106272.0138,4.0941515,-0.0011500581910000001,0.10200425,4.1961555
106293.0536,4.0931396,-0.001150059393,0.10219512,4.1953349
106315.045,4.0921283,-0.0011500600860000001,0.10244326,4.1945715
106337.0728,4.0910783,-0.001150058213,0.10250052,4.1935787
106361.9632,4.0900664,-0.001150058046,0.10265322,4.1927195
106386.4007,4.0889783,-0.001150058647,0.10280592,4.1917844
106413.4579,4.0879474,-0.0011500596590000001,0.10293953,4.190887
106438.8049,4.086936,-0.001150062488,0.10305405,4.18999
