Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
6015,91387.8,3.0195,5.00221252,0.8424,4.0315
6016,91387.8,2.9847,5.00007629,0.8426,3.9635
6017,91388.16,2.9667,5.00007629,0.9822,3.9423
6018,91388.16,2.9523,5.00007629,0.9937,3.9353
6019,91388.52,2.939,4.99992371,1.001,3.9353
6020,91388.88,2.9264,5.00038147,1.0063,3.9274
6021,91389.24,2.9145,4.99992371,1.018,3.9188
6022,91389.96,2.9026,4.99977112,1.0236,3.9142
6023,91390.68,2.8914,5.00038147,1.0315,3.908
6024,91391.4,2.8801,4.99946594,1.036,3.9041
6025,91392.12,2.8692,5.00007629,1.0417,3.8989
6026,91392.84,2.8582,5.00022888,1.0473,3.8938
6027,91393.56,2.847,4.99977112,1.0544,3.8878
6028,91394.28,2.836,4.99946594,1.0592,3.8833
6029,91395.36,2.8251,5.00022888,1.0656,3.879
6030,91396.44,2.8142,5.00022888,1.0716,3.8723
6031,91397.16,2.8034,4.99977112,1.0775,3.8674
6032,91398.24,2.7927,5.00022888,1.0831,3.8625
6033,91399.32,2.782,4.99992371,1.0885,3.8575
6034,91400.04,2.7716,4.99977112,1.0934,3.8526
6035,91401.12,2.7614,5.00038147,1.099,3.8478
6036,91402.2,2.7515,5.00022888,1.105,3.8435
6037,91403.28,2.7416,4.99977112,1.1103,3.8388
6038,91404.36,2.7318,4.99961853,1.1154,3.8338
6039,91405.08,2.7224,5.00022888,1.1208,3.8297
6040,91406.16,2.7131,4.99961853,1.1254,3.8257
6041,91407.24,2.7034,4.99977112,1.1306,3.8216
6042,91408.32,2.6944,4.99977112,1.1354,3.8178
6043,91409.04,2.6856,4.99992371,1.1402,3.8138
6044,91410.12,2.6761,5.00007629,1.1462,3.81
6045,91411.2,2.6676,4.99992371,1.1511,3.8063
6046,91412.28,2.6587,5.00022888,1.1556,3.8017
6047,91413.36,2.6505,5.00022888,1.1605,3.798
