Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
5733,87637.68,3.1469,5.00022888,0.7653,4.0913
5734,87638.04,3.1347,5.00022888,0.8902,4.0159
5735,87638.76,3.1234,5.00007629,0.8997,4.0104
5736,87639.84,3.1127,5.00022888,0.9065,4.005
5737,87640.92,3.1032,4.99992371,0.9113,4.0007
5738,87641.64,3.0947,5.00007629,0.9154,3.9962
5739,87642.72,3.0871,4.99977112,0.9191,3.9924
5740,87643.8,3.0796,4.99961853,0.9226,3.9887
5741,87644.88,3.0729,5.00022888,0.9258,3.9854
5742,87645.6,3.0665,4.99961853,0.929,3.9822
5743,87646.68,3.0603,4.99961853,0.9325,3.9792
5744,87647.76,3.0544,5.00007629,0.9353,3.9755
5745,87648.84,3.0484,5.00007629,0.9379,3.9725
5746,87649.92,3.043,4.99977112,0.9407,3.9698
5747,87650.64,3.0376,5.00038147,0.9433,3.9673
5748,87651.72,3.0321,5.00022888,0.9457,3.9647
5749,87652.8,3.0269,4.99992371,0.9484,3.962
5750,87653.88,3.0222,4.99992371,0.9506,3.9593
5751,87654.6,3.017,4.99992371,0.9536,3.9569
5752,87655.68,3.012,4.99977112,0.956,3.9539
5753,87656.76,3.0068,5.00007629,0.9584,3.9514
5754,87657.84,3.0022,4.99946594,0.9605,3.9493
5755,87658.92,2.9973,5.00022888,0.9628,3.9469
5756,87659.64,2.9928,4.99992371,0.9652,3.9447
5757,87660.72,2.988,4.99946594,0.9673,3.9423
5758,87661.8,2.9834,4.99961853,0.9695,3.9401
5759,87662.88,2.9787,4.99992371,0.9722,3.9379
5760,87663.6,2.9746,5.00007629,0.9743,3.9351
5761,87664.68,2.9702,5.00022888,0.9768,3.9331
5762,87665.76,2.9656,4.99992371,0.9786,3.9313
5763,87666.84,2.9612,4.99961853,0.9808,3.9291
5764,87667.92,2.957,4.99977112,0.9827,3.9272
5765,87668.64,2.9528,5.00007629,0.9851,3.925
5766,87669.72,2.9488,5.00038147,0.9869,3.9229
5767,87670.8,2.9447,4.99961853,0.9897,3.9212
5768,87671.88,2.9406,5.00007629,0.9915,3.9186
5769,87672.6,2.9364,4.99992371,0.9932,3.9169
5770,87673.68,2.9325,4.99992371,0.9954,3.9149
5771,87674.76,2.9285,4.99992371,0.9973,3.913
5772,87675.84,2.9247,5.00038147,0.9993,3.9111
5773,87676.92,2.921,5.00022888,1.0012,3.9097
5774,87677.64,2.9171,4.99961853,1.0031,3.9078
5775,87678.72,2.9136,5.00007629,1.0051,3.906
5776,87679.8,2.9099,4.99977112,1.0071,3.9038
5777,87680.88,2.9062,5.00007629,1.0085,3.9022
5778,87681.6,2.9029,4.99992371,1.0106,3.9008
5779,87682.68,2.8992,4.99977112,1.0121,3.8994
5780,87683.76,2.896,5.00007629,1.0139,3.8976
5781,87684.84,2.8927,4.99992371,1.0156,3.8963
5782,87685.92,2.8893,5.00022888,1.0171,3.8946
5783,87686.64,2.8865,5.00022888,1.0193,3.8936
5784,87687.72,2.8835,4.99977112,1.0206,3.8916
5785,87688.8,2.8806,5.00007629,1.0222,3.8905
5786,87689.88,2.8777,4.99992371,1.0236,3.8889
5787,87690.6,2.875,5.00007629,1.0249,3.8879
5788,87691.68,2.8724,5.00022888,1.0266,3.8865
5789,87692.76,2.8696,5.00007629,1.0277,3.8857
5790,87693.84,2.8669,4.99961853,1.029,3.8841
5791,87694.92,2.8644,4.99931335,1.0309,3.883
5792,87695.64,2.862,4.99977112,1.032,3.8819
5793,87696.72,2.8595,5.00022888,1.0333,3.8806
5794,87697.8,2.8574,5.00022888,1.0344,3.8796
5795,87698.88,2.855,5.00007629,1.0357,3.8787
5796,87699.6,2.8528,5.00038147,1.0368,3.8779
5797,87700.68,2.8508,4.99946594,1.0381,3.8766
5798,87701.76,2.8487,5.00022888,1.0393,3.8758
