Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
159383.6959,3.4936087,0.0,0.195265,3.6888738
159383.7443,3.4933417,-1.08e-09,0.19530316,3.6886449
159383.7461,3.4875283,-0.00012712019799999998,0.1973778,3.6849062
159383.7463,3.4851232,-0.001149995107,0.19833985,3.6834631
159383.7465,3.4839308,-0.0011499376480000002,0.19883431,3.6827652
159383.7487,3.4828429,-0.001149985501,0.19906338,3.6819062
159383.7661,3.4817548,-0.001150004219,0.1990252,3.6807799
159384.6549,3.4807239,-0.0011500093659999999,0.19917789,3.6799018
159387.2611,3.4797122,-0.001150020129,0.19965507,3.6793673
159390.4397,3.4786813,-0.0011500268220000001,0.20013227,3.6788137
159394.6453,3.4776697,-0.001150029991,0.20049492,3.6781647
159399.0867,3.4766581,-0.0011500357379999999,0.20083849,3.6774967
159403.8895,3.4756465,-0.001150040793,0.20127749,3.676924
159408.8643,3.4745965,-0.001150041683,0.20165925,3.6762557
159414.1691,3.4735847,-0.001150042204,0.20213643,3.6757212
159419.9449,3.4725733,-0.001150039227,0.20265178,3.675225
159426.0159,3.4715424,-0.001150043486,0.2030908,3.6746333
159432.2579,3.4705307,-0.0011500437480000002,0.20360616,3.6741369
159438.8551,3.4695191,-0.0011500456990000002,0.20396882,3.6734879
159445.6863,3.4684882,-0.001150046664,0.20446509,3.6729534
159453.2503,3.4674766,-0.001150050333,0.20490409,3.6723807
159460.5694,3.4664457,-0.001150050508,0.20551489,3.6719606
159468.8694,3.465415,-0.001150050018,0.2059539,3.6713688
159477.3536,3.4644032,-0.0011500515309999999,0.20648834,3.6708915
159485.8964,3.4633915,-0.001150052379,0.20690827,3.6702998
159495.2456,3.4623609,-0.001150049716,0.20742363,3.6697845
159505.5458,3.4613492,-0.001150048758,0.20795807,3.6693072
159516.1004,3.4603183,-0.001150049491,0.20854978,3.6688681
159526.6122,3.4592495,-0.001150052197,0.2091224,3.6683719
159538.8322,3.4582188,-0.001150052203,0.20956141,3.6677802
159551.395,3.4571688,-0.0011500511410000001,0.21013403,3.6673028
159563.0162,3.4560616,-0.001150050206,0.21070665,3.6667683
159578.556,3.4549737,-0.001150047582,0.21148923,3.6664629
159594.7028,3.4539049,-0.0011500468530000001,0.21192823,3.665833
159610.589,3.452893,-0.001150048961,0.21250086,3.6653938
159625.9044,3.451843,-0.00115005015,0.21299712,3.6648402
159643.0214,3.4508314,-0.001150050423,0.21366519,3.6644967
159660.9224,3.4498198,-0.001150049505,0.21419963,3.6640193
159679.2274,3.4488082,-0.001150049007,0.21490586,3.6637139
159698.2338,3.4477966,-0.001150048953,0.21545939,3.6632559
159718.6116,3.4467275,-0.0011500490210000001,0.2160511,3.6627786
159741.81,3.4457159,-0.00115004967,0.21660464,3.6623206
159765.4112,3.4447041,-0.001150050869,0.21725361,3.6619577
159790.6648,3.4436352,-0.001150048668,0.21792166,3.661557
159818.6576,3.4425855,-0.001150049115,0.21843702,3.6610224
159847.6628,3.4415736,-0.0011500533139999999,0.21900964,3.6605833
159876.5934,3.440562,-0.0011500532530000001,0.21960135,3.6601634
159907.2652,3.4395504,-0.001150052925,0.22007853,3.6596289
159938.8356,3.4385388,-0.001150056056,0.22078477,3.6593235
159975.4426,3.4375079,-0.001150056553,0.22126195,3.6587698
160011.0444,3.4364963,-0.001150057487,0.22189184,3.6583881
160051.1146,3.4354465,-0.001150056325,0.22240719,3.6578536
160089.5226,3.4344158,-0.001150056626,0.22278893,3.6572046
160131.7073,3.433404,-0.0011500552020000001,0.2232852,3.6566892
160172.7851,3.4323924,-0.00115005496,0.22366695,3.6560593
160213.5677,3.4313805,-0.001150053055,0.22414413,3.6555247
160253.5273,3.4303689,-0.001150051032,0.22452588,3.6548948
160283.6963,3.4300444,-0.00115005223,0.22467858,3.6547229
160283.7445,3.4430726,0.0,0.22074659,3.6638191
160283.7465,3.442013,0.0,0.22091837,3.6629314
160284.2535,3.4430246,0.0,0.22080386,3.6638286
160286.9891,3.4440746,0.0,0.2201167,3.6641912
160291.2383,3.4451818,0.0,0.21975404,3.6649358
160296.9709,3.4461935,0.0,0.21933413,3.6655276
160303.0879,3.4472241,0.0,0.21893328,3.6661575
160310.2297,3.4483123,0.0,0.21849428,3.6668065
160318.8309,3.449362,0.0,0.21809345,3.6674554
160327.8055,3.4503927,0.0,0.21761626,3.668009
160337.8341,3.4514427,0.0,0.21708182,3.6685245
160349.4509,3.4524543,0.0,0.2166619,3.6691163
160361.4857,3.4534662,0.0,0.21601292,3.6694791
160375.0453,3.4544778,0.0,0.21570753,3.6701853
160390.9809,3.4555278,0.0,0.21509674,3.6706245
160408.0363,3.4565775,0.0,0.21465772,3.6712353
160429.5415,3.4576082,0.0,0.21412328,3.6717315
160454.8759,3.4586201,0.0,0.21358883,3.6722088
160482.1893,3.4596317,0.0,0.21299712,3.6726289
160516.6545,3.4606624,0.0,0.21244359,3.673106
160562.9413,3.4617124,0.0,0.21190915,3.6736214
160622.9413,3.4624376,0.0,0.21147014,3.6739078
160674.8377,3.4634683,0.0,0.21084026,3.6743085
160734.8377,3.4637737,0.0,0.21066847,3.6744423
160794.8378,3.4638693,0.0,0.21059212,3.6744614
160853.1756,3.4648809,0.0,0.21017221,3.6750531
160913.1756,3.4646518,0.0,0.21022946,3.6748812
160938.747,3.4647856,0.0,0.21024854,3.675034
