Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
146072.3891,3.6317904,0,0.13479629,3.7665868
146072.4375,3.631676,-1.03E-06,0.13489173,3.7665677
146072.4393,3.6250298,-0.127121692,0.13700917,3.7620389
146072.4395,3.6239073,-1.149982352,0.13789105,3.7617984
146072.4397,3.6220171,-1.149975915,0.13828927,3.7603064
146072.4415,3.6209865,-1.149989899,0.13869011,3.7596765
146072.5059,3.6198599,-1.150009325,0.13842289,3.7582829
146074.2469,3.6188486,-1.150020906,0.13899551,3.757844
146077.2615,3.6178367,-1.150029166,0.13949178,3.7573285
146081.4315,3.6168249,-1.15003571,0.13983536,3.7566602
146086.0691,3.6158133,-1.150039256,0.14025527,3.7560685
146091.3025,3.6147444,-1.150041214,0.14063703,3.7553813
146097.2149,3.6137328,-1.150044203,0.14099967,3.7547324
146103.0759,3.6127019,-1.150046168,0.14149596,3.7541978
146109.4671,3.6116519,-1.150048752,0.1418777,3.7535295
146116.6157,3.6106403,-1.150049732,0.14241214,3.7530525
146123.7751,3.6096287,-1.150051693,0.14281298,3.7524416
146130.6333,3.6086168,-1.150051301,0.14311838,3.7517352
146139.2781,3.607605,-1.150049983,0.14363374,3.7512388
146148.3245,3.6065745,-1.150049251,0.14411092,3.7506855
146157.5905,3.6055627,-1.150050725,0.14453083,3.7500935
146167.4165,3.6045508,-1.150048764,0.14493167,3.7494826
146177.7161,3.6035395,-1.150050768,0.14556156,3.7491009
146188.2907,3.6025276,-1.150050769,0.14609601,3.7486236
146199.9821,3.6014969,-1.150051774,0.14645866,3.7479556
146212.1551,3.6004088,-1.150052861,0.14708854,3.7474973
146224.8533,3.5993972,-1.150052482,0.14754663,3.7469437
146239.1567,3.5983474,-1.15005186,0.14815743,3.7465048
146253.3839,3.5972784,-1.150051373,0.14867279,3.7459512
146268.7775,3.5962667,-1.150051649,0.14907363,3.7453403
146284.4607,3.5952361,-1.150049447,0.14951263,3.7447486
146302.4027,3.5941861,-1.150051055,0.15002799,3.7442141
146319.5161,3.593117,-1.150052271,0.15056244,3.7436795
