Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
167515.9512,3.3402915,0.0,0.27546999,3.6157615
167515.9996,3.3401577,-9.47e-10,0.27541271,3.6155705
167516.0014,3.3331916,-0.000127115319,0.27778912,3.6109807
167516.0018,3.3304989,-0.0011499465749999999,0.27890569,3.6094046
167516.0032,3.3293347,-0.001149993217,0.27926835,3.608603
167516.0114,3.3283229,-0.001150002333,0.27938288,3.6077058
167516.0488,3.327292,-0.001150011211,0.27911568,3.6064076
167516.2132,3.3262229,-0.00115001102,0.27888662,3.6051095
167517.3108,3.3251729,-0.001150015072,0.27902022,3.6041932
167519.0852,3.3241613,-0.00115001864,0.27944016,3.6036015
167521.2358,3.3231115,-0.001150025783,0.28008911,3.6032007
167523.742,3.3220425,-0.001150031414,0.28045177,3.6024942
167526.6518,3.3210115,-0.001150035028,0.28096715,3.6019788
167529.5532,3.3200002,-0.001150035655,0.28152066,3.6015208
167532.686,3.3189695,-0.001150036177,0.2819024,3.6008718
167535.8662,3.3179576,-0.0011500392,0.28247502,3.6004326
167538.7236,3.3169458,-0.001150041462,0.28295222,3.5998981
167542.3416,3.3158197,-0.001150040821,0.28369662,3.5995164
167545.9214,3.3147507,-0.001150042261,0.28407836,3.598829
167549.632,3.3137391,-0.001150043129,0.28468916,3.5984282
167553.1996,3.3127084,-0.001150044397,0.2852236,3.5979319
167556.728,3.3116586,-0.001150046262,0.28581533,3.5974739
167560.6434,3.3106468,-0.001150043565,0.2864643,3.597111
167564.621,3.3096352,-0.001150044115,0.28707507,3.5967102
167568.1104,3.3086042,-0.001150043182,0.28762862,3.5962329
167572.338,3.3075356,-0.001150044279,0.28846845,3.596004
167576.3546,3.3065238,-0.001150043757,0.2890029,3.5955267
167580.5452,3.3054931,-0.001150041991,0.28965187,3.595145
167584.731,3.3044622,-0.0011500428350000001,0.2903581,3.5948203
167588.923,3.3034124,-0.001150044455,0.29094982,3.5943623
167593.1586,3.3023243,-0.001150044334,0.29161787,3.5939422
167597.6696,3.3013129,-0.001150044339,0.29240045,3.5937133
167602.349,3.3003011,-0.001150044204,0.29312578,3.5934269
167606.632,3.2992704,-0.001150047777,0.2936984,3.5929687
167611.2054,3.2982204,-0.001150047293,0.29450005,3.5927205
167615.853,3.2971516,-0.0011500475580000001,0.29516813,3.5923197
167620.7686,3.29614,-0.001150048712,0.29593161,3.5920715
167625.2178,3.2951283,-0.001150047225,0.29663783,3.5917661
167629.6748,3.2941165,-0.001150049412,0.29736316,3.5914798
167634.629,3.2930858,-0.001150049256,0.29805031,3.5911362
167639.8626,3.2920742,-0.001150047893,0.29877561,3.5908499
167644.658,3.2910626,-0.001150048799,0.29953912,3.5906017
167649.2004,3.2900317,-0.001150048587,0.30020717,3.5902388
167654.6656,3.2889438,-0.001150050059,0.30112338,3.5900671
167660.3702,3.2879322,-0.001150049334,0.3018105,3.5897427
167665.3538,3.2869203,-0.0011500500000000001,0.30265036,3.5895708
167670.6368,3.2858133,-0.001150051674,0.30341384,3.5892272
167676.2568,3.2847824,-0.001150051332,0.30429187,3.5890744
167681.9422,3.283771,-0.0011500516270000001,0.30507445,3.5888455
167687.5968,3.2827404,-0.0011500503200000001,0.30581886,3.5885592
167693.331,3.2817287,-0.0011500513400000002,0.30654418,3.5882728
167698.6228,3.2807169,-0.0011500521299999998,0.30736494,3.5880818
167704.4726,3.279686,-0.0011500506420000002,0.30820477,3.5878909
167710.7438,3.2786746,-0.00115005046,0.30908278,3.5877573
167716.806,3.2776055,-0.001150048508,0.30982721,3.5874329
167723.179,3.2765939,-0.001150051406,0.31059068,3.5871847
167729.2984,3.2755823,-0.0011500519490000001,0.31139237,3.5869746
167735.3366,3.2744942,-0.0011500512990000001,0.31227037,3.5867646
167741.6918,3.2734826,-0.001150050023,0.31303388,3.5865164
167748.8182,3.272471,-0.001150054264,0.31393096,3.5864019
167755.5382,3.2714021,-0.0011500543569999998,0.31465629,3.5860584
167762.539,3.2703903,-0.001150054833,0.31551522,3.5859056
167769.9525,3.2693787,-0.001150052504,0.3164314,3.5858102
167776.9993,3.2683098,-0.001150055417,0.31717584,3.5854857
167784.7737,3.2671838,-0.001150055603,0.31807292,3.5852566
167793.6937,3.2661719,-0.00115005595,0.31912273,3.5852947
167800.8301,3.265065,-0.001150054325,0.31986713,3.5849321
167810.0069,3.2640343,-0.001150054853,0.3208406,3.5848749
167818.3305,3.2630036,-0.001150053784,0.32154682,3.5845504
167826.9277,3.2619727,-0.0011500540759999999,0.32246301,3.5844357
167836.8259,3.2609611,-0.001150055504,0.32332194,3.5842831
167845.9489,3.2599113,-0.0011500521859999998,0.32412362,3.5840349
167856.3383,3.2588995,-0.001150053869,0.32500163,3.5839012
167865.8609,3.2578878,-0.001150053729,0.32574603,3.5836339
167876.9291,3.2568762,-0.001150051394,0.32670039,3.5835767
167887.1981,3.2558646,-0.00115004981,0.32738754,3.5832522
167898.4291,3.2548339,-0.0011500523949999999,0.32830375,3.5831378
167909.4771,3.2538221,-0.001150052224,0.32899088,3.582813
167922.2707,3.2528105,-0.001150051524,0.32992616,3.5827367
167934.1647,3.2517798,-0.0011500500540000001,0.33065149,3.5824313
167946.3333,3.2507491,-0.0011500524009999998,0.33151042,3.5822597
167959.8367,3.2497375,-0.0011500530330000001,0.33231208,3.5820496
167972.8409,3.2487259,-0.001150052103,0.33311376,3.5818396
167983.8057,3.247714,-0.001150051525,0.33381999,3.5815341
167997.6057,3.2466834,-0.001150052077,0.33464074,3.5813241
168011.4497,3.2456336,-0.0011500535849999999,0.33549967,3.5811334
168025.0923,3.244622,-0.001150053857,0.33630133,3.5809233
168037.9635,3.2435913,-0.001150053018,0.33702666,3.5806179
168050.7067,3.2425795,-0.001150052665,0.33775198,3.5803316
168063.1685,3.2415488,-0.001150053332,0.33849639,3.5800452
168076.8081,3.2404609,-0.001150051207,0.33929804,3.5797589
168090.2763,3.239449,-0.001150051207,0.3401379,3.579587
168101.9897,3.238342,-0.001150050081,0.34097773,3.5793197
168115.2751,3.2373304,-0.001150052535,0.34177941,3.5791099
168126.6537,3.2362807,-0.001150053339,0.34254289,3.5788236
168139.6241,3.2352309,-0.001150053286,0.34334457,3.5785754
168151.4003,3.2342191,-0.001150051697,0.34406987,3.578289
168163.2065,3.23315,-0.001150050744,0.34498608,3.5781362
168174.9429,3.2321193,-0.00115005066,0.34582591,3.5779452
168186.6453,3.2310505,-0.001150048822,0.34660849,3.5776589
168198.5737,3.2300007,-0.00115005207,0.34742925,3.57743
168209.4207,3.2289891,-0.001150048888,0.34825,3.577239
168220.7073,3.2279582,-0.001150051322,0.3489944,3.5769527
168232.2091,3.2269275,-0.00115005083,0.34983426,3.5767617
168243.5765,3.2259159,-0.001150049972,0.35071227,3.5766282
168253.7295,3.2249043,-0.0011500498830000002,0.35151395,3.5764182
168264.9367,3.2238927,-0.0011500515630000002,0.35235378,3.5762465
168275.3795,3.2228808,-0.00115005089,0.35300276,3.5758836
168285.5615,3.2218504,-0.00115005254,0.35382351,3.5756738
168296.3403,3.2208195,-0.00115004913,0.35466334,3.5754828
168307.7407,3.2197888,-0.00115005259,0.3554841,3.5752728
168318.0927,3.2187772,-0.00115005415,0.35634303,3.5751202
168326.9971,3.2177656,-0.001150052702,0.35704929,3.5748148
168338.8415,3.2167537,-0.0011500528180000001,0.35792729,3.574681
168349.1133,3.215704,-0.0011500502150000001,0.35878623,3.5744901
168359.7883,3.2146733,-0.001150046541,0.35960698,3.5742803
168369.3663,3.2136614,-0.001150049709,0.36048499,3.5741465
168379.9987,3.2125926,-0.001150053558,0.36132485,3.5739174
168390.7817,3.211581,-0.001150052748,0.36220285,3.5737839
168401.4677,3.2105694,-0.001150051891,0.36298543,3.5735548
168411.2076,3.2094431,-0.001150054034,0.36374894,3.5731921
168415.9516,3.2095194,-0.001150054106,0.36405432,3.5735738
168415.9998,3.2229216,0.0,0.36023685,3.5831585
168416.0002,3.2241778,0.0,0.36010325,3.584281
168416.0016,3.2227671,0.0,0.3601605,3.5829277
168416.056,3.223779,0.0,0.36027503,3.584054
168416.2678,3.224829,0.0,0.36040863,3.5852375
168417.2144,3.2258596,0.0,0.36031321,3.5861728
168418.9644,3.2269094,0.0,0.35989329,3.5868027
168421.5298,3.2279785,0.0,0.35964516,3.5876236
168424.3616,3.2289901,0.0,0.35920614,3.5881963
168427.2714,3.2300591,0.0,0.35888165,3.5889409
168430.7542,3.231071,0.0,0.35836631,3.5894372
168434.5868,3.2321017,0.0,0.35802272,3.5901244
168438.8022,3.2331133,0.0,0.35748827,3.5906017
168442.8216,3.2341251,0.0,0.35710654,3.5912316
168447.4534,3.2351367,0.0,0.35662934,3.5917661
168451.5188,3.2362056,0.0,0.35617125,3.5923769
168457.1534,3.2372174,0.0,0.35567498,3.5928924
168462.871,3.2382865,0.0,0.35512146,3.5934079
168468.9708,3.2392979,0.0,0.35456792,3.5938659
168474.8084,3.2403288,0.0,0.35403347,3.5943623
168481.6262,3.2413404,0.0,0.35346085,3.5948012
168487.9562,3.242352,0.0,0.3529264,3.5952785
168495.2938,3.2433829,0.0,0.35239196,3.5957749
168503.3744,3.2443945,0.0,0.35172391,3.5961185
168511.6974,3.2454255,0.0,0.35115129,3.5965767
168520.6868,3.2464752,0.0,0.35046414,3.5969393
168530.404,3.2475631,0.0,0.34979609,3.5973592
168541.6136,3.248651,0.0,0.34897533,3.5976264
168553.5654,3.2496629,0.0,0.34840271,3.5980656
168566.2832,3.2506745,0.0,0.34773466,3.5984092
168580.0046,3.2516861,0.0,0.34697115,3.5986574
168592.526,3.252717,0.0,0.34643671,3.5991538
168609.7468,3.253767,0.0,0.34565413,3.599421
168628.5494,3.2547784,0.0,0.34490973,3.5996881
168646.3418,3.25579,0.0,0.34414622,3.5999362
168668.9664,3.2568018,0.0,0.34351635,3.6003182
168694.5736,3.2578897,0.0,0.34271467,3.6006045
168724.4664,3.2589014,0.0,0.34193209,3.6008334
168757.083,3.2600083,0.0,0.34109226,3.6011007
168796.1984,3.2610583,0.0,0.34023333,3.6012917
168836.5254,3.2621846,0.0,0.33937439,3.6015589
168837.0994,3.2611728,0.0,0.33975613,3.600929
168846.7812,3.2621846,0.0,0.33925986,3.6014445
168896.8582,3.2631962,0.0,0.33857274,3.601769
168956.4804,3.2642078,0.0,0.33777106,3.6019788
169016.4804,3.2646849,0.0,0.33721754,3.6019025
169067.2297,3.2656965,0.0,0.33645403,3.6021507
169127.2297,3.2659638,0.0,0.3362059,3.6021698
169178.8699,3.2669756,0.0,0.33536607,3.6023417
169238.8699,3.2670135,0.0,0.33521336,3.602227
169298.8699,3.2675862,0.0,0.33479345,3.6023798
169357.0023,3.2677963,0.0,0.33444986,3.602246
