Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
4086,65194.53,3.6327,0,0.1956,3.4194
4087,65194.56,3.4966,5.0037384,0.1956,3.4194
4088,65195.56,3.4873,5.00007629,0.1328,3.3386
4089,65196.56,3.4832,5.00038147,0.1311,3.3356
4090,65197.56,3.4801,5.00022888,0.13,3.3333
4091,65198.56,3.4775,5.00007629,0.129,3.3317
4092,65199.56,3.4749,4.99992371,0.1282,3.3298
4093,65200.56,3.4725,4.99992371,0.1276,3.3284
4094,65201.56,3.4705,4.99977112,0.1271,3.327
4095,65202.56,3.4688,4.99961853,0.1268,3.3257
4096,65203.56,3.4665,4.99977112,0.1258,3.3239
4097,65204.56,3.4649,5.00007629,0.1253,3.3225
4098,65205.56,3.4632,5.00038147,0.125,3.3211
4099,65206.56,3.4615,5.00007629,0.1247,3.3203
4100,65207.56,3.4597,4.99992371,0.1242,3.3192
4101,65208.56,3.4582,4.99992371,0.1239,3.3181
4102,65209.56,3.4569,4.99977112,0.1234,3.3165
4103,65210.56,3.4556,5.00007629,0.1228,3.3158
4104,65211.56,3.4537,5.00053406,0.1225,3.3146
4105,65212.56,3.4524,5.00022888,0.1223,3.3136
4106,65213.56,3.4513,5.00038147,0.122,3.3128
4107,65214.56,3.4498,5.00007629,0.1215,3.3117
4108,65215.56,3.4485,5.00022888,0.1214,3.3106
4109,65216.56,3.4472,4.99977112,0.1211,3.31
4110,65217.56,3.4463,4.99961853,0.1206,3.3088
4111,65218.56,3.445,5.00038147,0.1203,3.3084
4112,65219.56,3.4437,5.00068665,0.1199,3.3072
4113,65220.56,3.4424,5.00022888,0.1198,3.3063
4114,65221.56,3.4414,4.99977112,0.1196,3.3053
4115,65222.56,3.4403,5.00007629,0.1193,3.3044
4116,65223.56,3.4391,5.00038147,0.119,3.3037
4117,65224.56,3.4379,5.00053406,0.1187,3.3031
4118,65225.56,3.4371,5.00038147,0.1184,3.3023
4119,65226.56,3.436,5.00022888,0.118,3.3015
4120,65227.56,3.435,4.99961853,0.1179,3.3009
4121,65228.56,3.4342,4.99977112,0.1174,3.3001
4122,65229.56,3.433,4.99992371,0.1172,3.2991
4123,65230.56,3.4321,5.00068665,0.1171,3.2985
4124,65231.56,3.4311,5.00022888,0.1169,3.2979
4125,65232.56,3.4302,4.99946594,0.1166,3.2971
4126,65233.56,3.4292,4.99977112,0.1163,3.2964
4127,65234.56,3.4284,4.99977112,0.1161,3.2956
4128,65235.56,3.4272,4.99946594,0.1158,3.2952
4129,65236.56,3.4264,5.00038147,0.1156,3.2947
4130,65237.56,3.4255,4.99977112,0.1156,3.2937
4131,65238.56,3.4247,4.99992371,0.115,3.2929
4132,65239.56,3.4238,4.99992371,0.1149,3.2925
4133,65240.56,3.4229,4.99977112,0.1149,3.2918
4134,65241.56,3.4221,5.00022888,0.1145,3.2913
4135,65242.56,3.4214,5.00083923,0.1145,3.2905
4136,65243.56,3.4203,5.00022888,0.1144,3.2902
4137,65244.56,3.4195,4.99992371,0.1141,3.2894
4138,65245.56,3.4189,4.99977112,0.1139,3.289
4139,65246.56,3.4183,4.99992371,0.1136,3.2882
4140,65247.56,3.4174,4.99992371,0.1134,3.2875
4141,65248.56,3.4163,5.00068665,0.1133,3.287
4142,65249.56,3.4156,4.99977112,0.1129,3.2866
4143,65250.56,3.415,5.00007629,0.1129,3.2858
4144,65251.56,3.4142,5.00022888,0.1126,3.2853
4145,65252.56,3.4136,4.99977112,0.1126,3.285
4146,65253.56,3.4128,4.99992371,0.1125,3.2839
4147,65254.56,3.4121,5.00053406,0.1123,3.2835
4148,65255.56,3.4115,4.99961853,0.1121,3.2831
4149,65256.56,3.4105,5.00022888,0.1118,3.2826
4150,65257.56,3.4099,4.99977112,0.1118,3.2818
4151,65258.56,3.4092,5.00038147,0.1118,3.2815
4152,65259.56,3.4086,5.00022888,0.1115,3.281
4153,65260.56,3.4078,4.99992371,0.1114,3.2804
4154,65261.56,3.407,5.00022888,0.1114,3.2799
4155,65262.56,3.4066,4.99961853,0.111,3.2796
4156,65263.56,3.4061,5.00068665,0.1107,3.2791
4157,65264.56,3.4054,4.99946594,0.1106,3.2783
4158,65265.56,3.4046,5.00068665,0.1106,3.278
4159,65266.56,3.404,4.99977112,0.1104,3.2775
4160,65267.56,3.4034,5.00068665,0.1102,3.277
4161,65268.56,3.4029,5.00007629,0.1101,3.2766
4162,65269.56,3.4022,4.99992371,0.1099,3.2759
4163,65270.56,3.4015,5.00022888,0.1098,3.2754
4164,65271.56,3.4009,5.00007629,0.1098,3.275
4165,65272.56,3.4002,5.00022888,0.1096,3.2746
4166,65273.56,3.3996,5.00038147,0.1094,3.2738
4167,65274.56,3.3989,4.99961853,0.1093,3.2737
4168,65275.56,3.3983,4.99992371,0.1093,3.2731
4169,65276.56,3.3976,5.00068665,0.1091,3.2726
4170,65277.56,3.3974,4.99992371,0.109,3.2723
4171,65278.56,3.3965,4.99992371,0.109,3.2718
4172,65279.56,3.3962,4.99992371,0.1088,3.2713
4173,65280.56,3.3956,4.99961853,0.1088,3.271
4174,65281.56,3.395,5.00038147,0.1085,3.2707
4175,65282.56,3.3945,5.00038147,0.1083,3.27
4176,65283.56,3.3938,4.99977112,0.1085,3.2696
4177,65284.56,3.3931,4.99992371,0.1082,3.2694
4178,65285.56,3.3927,5.00038147,0.108,3.2686
4179,65286.56,3.3922,5.00022888,0.1079,3.2683
4180,65287.56,3.3918,5.00022888,0.1077,3.268
4181,65288.56,3.3912,4.99992371,0.1077,3.2675
4182,65289.56,3.3907,5.00099182,0.1077,3.267
4183,65290.56,3.3901,5.00022888,0.1077,3.2667
4184,65291.56,3.3898,5.00038147,0.1075,3.2662
4185,65292.56,3.389,5.00053406,0.1074,3.2659
4186,65293.56,3.3884,5.00068665,0.1074,3.2653
4187,65294.56,3.3878,5.00007629,0.1072,3.2649
