Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
2722,46444.53,3.836,0,0.2311,3.5902
2723,46444.57,3.7005,5.00038147,0.2311,3.5902
2724,46445.36,3.6901,4.99961853,0.1665,3.5107
2725,46446.36,3.6834,4.99961853,0.1646,3.5051
2726,46447.36,3.6785,4.99946594,0.1632,3.5016
2727,46448.36,3.6748,4.99961853,0.1622,3.4989
2728,46449.36,3.6713,4.99992371,0.1613,3.4965
2729,46450.36,3.6684,4.99977112,0.1605,3.4943
2730,46451.36,3.6657,5.00022888,0.1597,3.4922
2731,46452.36,3.6632,4.99946594,0.1591,3.4905
2732,46453.36,3.6606,4.99977112,0.1581,3.4889
2733,46454.36,3.6584,4.99992371,0.1576,3.4866
2734,46455.36,3.6564,4.99961853,0.157,3.4854
2735,46456.36,3.6545,4.99961853,0.1565,3.4839
2736,46457.36,3.6526,5.00038147,0.156,3.4827
2737,46458.36,3.6509,5.00038147,0.1556,3.4814
2738,46459.36,3.649,5.00022888,0.1551,3.4803
2739,46460.36,3.6475,4.99992371,0.1545,3.4793
2740,46461.36,3.6461,4.99992371,0.154,3.4784
2741,46462.36,3.6446,5.00038147,0.1533,3.4771
2742,46463.36,3.6431,5.00053406,0.1532,3.476
2743,46464.36,3.642,5.00022888,0.1527,3.475
2744,46465.36,3.6405,5.00022888,0.1524,3.4741
2745,46466.36,3.6394,4.99992371,0.1521,3.4734
2746,46467.36,3.6382,4.99977112,0.1517,3.4725
2747,46468.36,3.637,4.99977112,0.1513,3.4715
2748,46469.36,3.6356,4.99992371,0.151,3.4711
2749,46470.36,3.6344,4.99992371,0.1505,3.4703
2750,46471.36,3.6335,4.99992371,0.1502,3.4693
2751,46472.36,3.6326,5.00022888,0.1502,3.4688
2752,46473.36,3.6315,5.00022888,0.1495,3.468
2753,46474.36,3.6303,5.00038147,0.1489,3.4669
2754,46475.36,3.6294,5.00007629,0.149,3.4663
2755,46476.36,3.6283,5.00007629,0.1486,3.4658
2756,46477.36,3.6275,4.99931335,0.1483,3.4653
2757,46478.36,3.6266,4.99977112,0.1478,3.4647
2758,46479.36,3.6258,4.99992371,0.1476,3.4637
