Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
2976,50137.56,3.5998,5.00160217,0.5678,4.2954
2977,50138.28,3.5892,5.00007629,0.668,4.2416
2978,50139.36,3.5824,4.99961853,0.6726,4.2381
2979,50140.44,3.5776,4.99977112,0.6745,4.2348
2980,50141.52,3.574,5.00007629,0.6758,4.2326
2981,50142.24,3.5706,5.00038147,0.6773,4.2302
2982,50143.32,3.5676,5.00007629,0.6781,4.2287
2983,50144.4,3.565,4.99992371,0.6793,4.227
2984,50145.48,3.5627,5.00038147,0.6804,4.2252
2985,50146.2,3.5604,5.00038147,0.6812,4.2243
2986,50147.28,3.5583,4.99977112,0.682,4.2229
2987,50148.36,3.5561,5.00022888,0.6828,4.2217
2988,50149.44,3.5541,4.99977112,0.6834,4.22
2989,50150.52,3.5523,4.99977112,0.6839,4.2189
2990,50151.24,3.5509,5.00022888,0.6845,4.2179
2991,50152.32,3.5491,5.00053406,0.6851,4.217
2992,50153.4,3.5474,4.99992371,0.6855,4.2159
2993,50154.48,3.5462,5.00038147,0.6861,4.2149
2994,50155.2,3.5447,4.99977112,0.6866,4.214
2995,50156.28,3.5431,4.99992371,0.6872,4.2128
2996,50157.36,3.5418,5.00038147,0.6875,4.2122
2997,50158.44,3.5407,5.00038147,0.6878,4.2111
2998,50159.52,3.5392,5.00022888,0.6882,4.21
2999,50160.24,3.5378,5.00007629,0.689,4.2092
3000,50161.32,3.5366,4.99992371,0.6891,4.2087
3001,50162.4,3.5355,4.99992371,0.6896,4.2079
3002,50163.48,3.5343,4.99961853,0.6902,4.2073
3003,50164.2,3.5332,4.99961853,0.6905,4.2065
3004,50165.28,3.5319,4.99977112,0.6909,4.2057
3005,50166.36,3.5311,5.00007629,0.6912,4.205
3006,50167.44,3.53,5.00022888,0.6915,4.2043
3007,50168.52,3.5286,5.00022888,0.6921,4.2036
3008,50169.24,3.5277,5.00022888,0.6921,4.203
3009,50170.32,3.5267,5.00038147,0.6928,4.2023
3010,50171.4,3.5261,5.00007629,0.6929,4.202
3011,50172.48,3.5248,4.99961853,0.6936,4.2012
3012,50173.2,3.5239,5.00022888,0.6939,4.2006
3013,50174.28,3.523,5.00038147,0.6942,4.2
3014,50175.36,3.5219,4.99961853,0.6947,4.1993
3015,50176.44,3.521,4.99961853,0.6948,4.199
3016,50177.52,3.5201,5.00022888,0.6952,4.1982
3017,50178.24,3.5195,5.00007629,0.6955,4.1977
3018,50179.32,3.5186,4.99946594,0.6958,4.1973
3019,50180.4,3.5175,4.99977112,0.6963,4.1966
3020,50181.48,3.5167,5.00007629,0.6964,4.1963
3021,50182.2,3.5158,5.00007629,0.6969,4.1955
