Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
6002,91444.53,3.3393,0,0.1144,3.202
6003,91444.57,3.1803,4.998703,0.1144,3.202
6004,91444.73,3.1641,5.00007629,0.0617,3.0879
6005,91445.17,3.1528,5.00007629,0.0536,3.0812
6006,91446.08,3.1421,5.00022888,0.0509,3.0719
6007,91447.08,3.1339,5.00038147,0.049,3.0649
6008,91448.08,3.1269,4.99992371,0.0482,3.0591
6009,91449.08,3.1205,4.99992371,0.0469,3.0537
6010,91450.08,3.1147,5.00038147,0.0461,3.0488
6011,91451.08,3.1093,4.99961853,0.0457,3.044
6012,91452.08,3.1043,5.00038147,0.0449,3.0396
6013,91453.08,3.0991,5.00038147,0.0441,3.0343
6014,91454.08,3.0942,4.99931335,0.0438,3.0302
6015,91455.08,3.0895,4.99977112,0.0431,3.0262
6016,91456.08,3.0852,5.00022888,0.0428,3.0221
6017,91457.08,3.0806,4.99961853,0.042,3.0183
6018,91458.08,3.0762,4.99961853,0.0417,3.0144
6019,91459.08,3.0718,5.00053406,0.0414,3.0108
6020,91460.08,3.0677,4.99977112,0.0409,3.0071
6021,91461.08,3.0632,5.00038147,0.0404,3.0027
6022,91462.08,3.0591,5.00007629,0.0401,2.999
6023,91463.08,3.0553,4.99977112,0.0396,2.9947
6024,91464.08,3.0512,5.00053406,0.0393,2.9912
6025,91465.08,3.0472,4.99946594,0.0387,2.9877
6026,91466.08,3.0428,5.00038147,0.0385,2.9844
6027,91467.08,3.0391,4.99992371,0.0379,2.9815
6028,91468.08,3.0352,4.99977112,0.0376,2.9774
6029,91469.08,3.0314,5.00007629,0.0371,2.9742
6030,91470.08,3.0274,4.99961853,0.0368,2.9709
6031,91471.08,3.0237,5.00022888,0.0363,2.9675
6032,91472.08,3.0201,4.99961853,0.036,2.9636
6033,91473.08,3.0166,5.00053406,0.0358,2.9604
6034,91474.08,3.0127,5.00022888,0.0353,2.957
6035,91475.08,3.0091,4.99946594,0.0352,2.9548
6036,91476.08,3.0056,5.00022888,0.0345,2.951
6037,91477.08,3.0019,4.99977112,0.0342,2.9478
6038,91478.08,2.9986,5.00022888,0.0337,2.9448
6039,91479.08,2.9952,4.99977112,0.0334,2.9419
6040,91480.08,2.9915,4.99992371,0.0334,2.9391
6041,91481.08,2.9882,4.99961853,0.0331,2.9352
6042,91482.08,2.9848,5.00022888,0.0328,2.9332
6043,91483.08,2.9815,4.99977112,0.0325,2.9303
6044,91484.08,2.9784,5.00022888,0.032,2.9273
6045,91485.08,2.9754,5.00038147,0.0315,2.9241
6046,91486.08,2.9723,4.99931335,0.0312,2.9212
6047,91487.08,2.9688,5.00007629,0.0309,2.9185
6048,91488.08,2.9656,5.00038147,0.0307,2.9158
6049,91489.08,2.9628,5.00007629,0.0304,2.9135
6050,91490.08,2.9598,5.00022888,0.0298,2.9101
6051,91491.08,2.957,5.00007629,0.0296,2.9079
6052,91492.08,2.9541,5.00007629,0.0296,2.905
6053,91493.08,2.9516,5.00022888,0.0291,2.9028
6054,91494.08,2.9488,4.99977112,0.0291,2.9006
6055,91495.08,2.9462,5.00022888,0.0285,2.8977
6056,91496.08,2.9436,5.00053406,0.0285,2.896
6057,91497.08,2.9413,5.00022888,0.0283,2.8939
6058,91498.08,2.9389,4.99977112,0.0279,2.892
6059,91499.08,2.9366,5.00007629,0.0277,2.8899
6060,91500.08,2.9342,4.99946594,0.0274,2.888
6061,91501.08,2.9322,5.00022888,0.0271,2.8855
6062,91502.08,2.9299,4.99977112,0.0267,2.8836
