Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
149521.4404,3.6165385,0,0.13859467,3.7551332
149521.4888,3.6163287,-8.68E-07,0.13867103,3.7549996
149521.4906,3.6101167,-0.127135032,0.14069703,3.7508137
149521.4908,3.608433,-1.150006405,0.14165908,3.750092
149521.491,3.6067653,-1.150006405,0.14222127,3.7489865
149521.4926,3.6057153,-1.150016306,0.14254576,3.748261
149521.5374,3.6046844,-1.150007337,0.14235489,3.7470393
149522.94,3.6036153,-1.150012946,0.14267936,3.7462947
149525.9982,3.6025083,-1.150023339,0.14330925,3.7458177
149530.4602,3.6014965,-1.150029486,0.14371009,3.7452066
149534.6714,3.6004848,-1.1500341,0.14411092,3.7445958
149539.958,3.599416,-1.150038007,0.14456901,3.7439849
149545.5352,3.5983853,-1.150040506,0.1448935,3.7432787
149551.8024,3.5973732,-1.150042311,0.14529434,3.7426677
149557.8422,3.5963619,-1.150042559,0.14577152,3.7421334
149564.6624,3.5953503,-1.150043803,0.14619143,3.7415416
149571.6494,3.5943193,-1.15004528,0.14666863,3.740988
149578.8236,3.5932696,-1.150043221,0.14718398,3.7404535
149587.1468,3.5922387,-1.150046318,0.14743212,3.7396708
149595.829,3.5912271,-1.150047557,0.14808108,3.7393081
149604.377,3.5901771,-1.150046506,0.14859645,3.7387736
149613.831,3.5891273,-1.150049046,0.14903545,3.7381628
149623.9304,3.5881157,-1.150050502,0.14953172,3.7376473
149633.8782,3.5870466,-1.150049509,0.15004708,3.7370937
149645.363,3.5860348,-1.150049527,0.15060061,3.7366354
149656.989,3.5850234,-1.150050293,0.15107779,3.7361012
149668.9398,3.5839925,-1.150050351,0.15155499,3.7355475
149681.7402,3.5829806,-1.150052074,0.15218486,3.7351656
149693.9258,3.5819309,-1.150053419,0.15266205,3.7345929
149707.5332,3.5809193,-1.150053817,0.15306288,3.7339821
149722.9944,3.5798504,-1.15005457,0.15378819,3.7336385
149739.341,3.5788195,-1.150054397,0.15426539,3.7330849
149754.759,3.5777888,-1.150054959,0.15476166,3.7325504
149772.2352,3.5767772,-1.150054153,0.15531519,3.7320924
149789.7904,3.5757272,-1.150051916,0.15586872,3.731596
149807.7172,3.5746772,-1.150051135,0.15625046,3.7309277
149828.341,3.5736656,-1.150050235,0.15686126,3.7305269
149848.2652,3.572654,-1.150049747,0.15743388,3.730088
149868.8586,3.5716422,-1.150051549,0.15777746,3.7294197
