Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
177097.1559,2.9731221,0,0.59319782,3.5663199
177097.2043,2.9730647,-7.89E-07,0.59315968,3.5662243
177097.2061,2.9658437,-0.127136579,0.59542584,3.5612695
177097.2063,2.96416,-1.149975915,0.59638786,3.5605478
177097.2065,2.9629288,-1.149969477,0.59690076,3.5598295
177097.2079,2.9618981,-1.149985875,0.59724432,3.5591424
177097.2145,2.9607337,-1.150008628,0.59753066,3.5582643
177097.2273,2.9596646,-1.150002015,0.59743524,3.5570998
177097.2537,2.9585574,-1.150009205,0.59754974,3.556107
177097.2821,2.9575074,-1.15000471,0.5974161,3.5549235
177097.3279,2.9564958,-1.150009402,0.59733975,3.5538354
177097.3871,2.9553695,-1.150008621,0.5971871,3.5525565
177097.4813,2.9543576,-1.150010362,0.59711075,3.5514684
177097.5963,2.9532695,-1.150008786,0.59711075,3.5503802
177097.7589,2.9522388,-1.150010455,0.5971489,3.5493877
177098.0201,2.9512269,-1.150012127,0.59716797,3.5483949
177098.3243,2.9502151,-1.150013852,0.59735888,3.547574
177098.8247,2.9492035,-1.150014838,0.59764516,3.5468488
177099.3813,2.9481728,-1.150018731,0.59781694,3.5459898
177100.1337,2.947161,-1.150019257,0.59833235,3.5454934
177100.9765,2.9461493,-1.150021707,0.59873313,3.5448825
177101.8587,2.9450996,-1.150023848,0.59917217,3.5442717
177102.8013,2.9439731,-1.15002382,0.59964937,3.5436225
177103.8329,2.9429615,-1.150027153,0.60005015,3.5430117
177104.7443,2.9419498,-1.150029249,0.60062277,3.5425727
177105.8603,2.9409189,-1.15003041,0.60121453,3.5421336
177106.8709,2.9398692,-1.150030555,0.60163444,3.5415037
177107.9881,2.9388576,-1.150029978,0.60235977,3.5412173
177109.0577,2.9378459,-1.150031612,0.60268426,3.5405302
177110.1731,2.9368343,-1.150032618,0.60342866,3.5402629
177111.3047,2.9357843,-1.150030534,0.6040585,3.5398428
177112.4017,2.9347725,-1.150033124,0.6045357,3.5393083
177113.5367,2.9337039,-1.150033255,0.60520375,3.5389075
177114.7557,2.932673,-1.150035687,0.60600543,3.5386784
177115.7851,2.9316039,-1.150037884,0.6065017,3.5381057
177117.0171,2.9305732,-1.150038649,0.60720795,3.5377812
177118.1883,2.9295425,-1.150036763,0.60789508,3.5374377
177119.3143,2.9284737,-1.150037432,0.60841042,3.5368841
177120.5739,2.9274237,-1.150038504,0.60925031,3.536674
177121.7691,2.9264121,-1.150037182,0.60988015,3.5362923
177122.8589,2.925324,-1.150038749,0.61056733,3.5358913
177124.2067,2.9243124,-1.150039699,0.61121625,3.5355287
177125.3949,2.9232626,-1.15003881,0.61196071,3.5352232
177126.6489,2.9222128,-1.150043623,0.6126669,3.5348797
177127.7451,2.9212012,-1.15004328,0.61335403,3.5345552
177128.9661,2.9201703,-1.150040599,0.614003,3.5341733
177130.2479,2.9191585,-1.150040218,0.61472833,3.5338869
177131.3915,2.9181089,-1.150040772,0.61564451,3.5337534
177132.6111,2.9170589,-1.150044806,0.61625534,3.5333142
177133.8583,2.9160473,-1.15004371,0.61705703,3.5331044
177135.0727,2.9149594,-1.150046144,0.61768687,3.5326462
177136.2285,2.9139285,-1.150044075,0.61854583,3.5324743
177137.4223,2.9128022,-1.150044058,0.61936659,3.5321689
177138.9213,2.9117906,-1.150047361,0.62007278,3.5318635
177140.1437,2.910779,-1.150043948,0.62095082,3.5317299
177141.3329,2.9097099,-1.150044963,0.62159979,3.5313098
177142.6293,2.9086411,-1.150046779,0.62236327,3.5310044
177143.8675,2.907496,-1.150046725,0.62324131,3.5307372
177145.1275,2.9064844,-1.150048091,0.62406206,3.5305464
177146.4569,2.9054346,-1.150048101,0.62488282,3.5303173
177147.6985,2.9043846,-1.150048767,0.6256845,3.5300691
177149.0091,2.9033728,-1.150048229,0.62652433,3.5298972
177150.1601,2.9023423,-1.150048402,0.62732601,3.5296683
177151.3887,2.9013307,-1.150047551,0.62812763,3.5294583
177152.6887,2.9003191,-1.150044457,0.62883389,3.5291529
177153.9061,2.8993073,-1.150045395,0.62963557,3.5289428
177155.0781,2.8982956,-1.150045674,0.63041812,3.5287137
177156.3467,2.897284,-1.150046016,0.63137251,3.5286565
177157.4957,2.8962531,-1.150046051,0.63209784,3.5283511
177158.8355,2.8952227,-1.150046552,0.63280404,3.5280266
177160.1085,2.8942108,-1.150047716,0.63370115,3.5279119
177161.1985,2.8931611,-1.150049847,0.63454098,3.5277021
177162.5949,2.8921494,-1.150049751,0.63534266,3.527492
177163.7681,2.8911376,-1.150047006,0.63620162,3.5273392
177165.1169,2.8901072,-1.150047449,0.63702238,3.5271294
177166.3661,2.8890572,-1.150045901,0.63801491,3.5270722
177167.6013,2.8880072,-1.150043858,0.63874024,3.5267475
177168.9131,2.8869958,-1.150048474,0.63952279,3.5265186
177170.0143,2.8859839,-1.150049774,0.64032447,3.5263085
177171.3767,2.8849533,-1.150051889,0.64122158,3.5261748
177172.6379,2.8839035,-1.150052887,0.64211869,3.5260222
177173.9517,2.8828344,-1.150050526,0.64307302,3.5259075
177175.2815,2.8818231,-1.150050232,0.64393198,3.5257549
177176.4869,2.8807921,-1.150049374,0.64473367,3.5255258
177177.7821,2.8797231,-1.15004716,0.64555442,3.5252776
177178.9603,2.8787117,-1.150048416,0.64656603,3.5252776
177180.3775,2.8776999,-1.150048486,0.64731044,3.5250103
177181.5651,2.8766885,-1.150050821,0.64818847,3.5248768
177182.9087,2.8756578,-1.150050275,0.64912373,3.5247815
177184.0911,2.8746459,-1.150050836,0.64992541,3.5245714
177185.3647,2.8736343,-1.150052372,0.65082252,3.5244567
177186.5021,2.8725655,-1.150050321,0.65166235,3.5242279
177187.9683,2.8715537,-1.150048737,0.65261674,3.5241704
177189.1703,2.870523,-1.150049067,0.65347564,3.5239987
177190.4855,2.8694923,-1.150051381,0.65431547,3.5238078
177191.7793,2.8684807,-1.150052356,0.65528893,3.5237696
177193.0905,2.8673162,-1.150049176,0.65628147,3.5235977
177194.5221,2.8663049,-1.15004942,0.65710223,3.523407
177195.8115,2.8652167,-1.150051093,0.65813297,3.5233498
177197.1781,2.8641667,-1.150052651,0.65910643,3.5232732
177198.4283,2.8631361,-1.150047633,0.65988898,3.523025
177199.7859,2.8621244,-1.150046519,0.66078609,3.5229106
177201.0379,2.8611131,-1.150047242,0.6616832,3.5227962
177202.3605,2.8600821,-1.150048539,0.66258031,3.5226624
177203.6319,2.8590324,-1.150048005,0.6635347,3.522567
177205.0611,2.8580015,-1.150047582,0.66446996,3.5224714
177206.2783,2.8569899,-1.150047176,0.66530979,3.5222998
177207.6635,2.8559403,-1.150049857,0.66630232,3.5222425
177208.9793,2.8549094,-1.150048686,0.66721851,3.5221279
177210.2965,2.8538597,-1.150049005,0.6680584,3.5219181
177211.6671,2.8528478,-1.150047074,0.66899365,3.5218415
177212.8931,2.8516836,-1.150047673,0.66990983,3.5215933
177214.4509,2.8506527,-1.150046731,0.67095965,3.5216124
177215.8667,2.8496413,-1.150048933,0.67187583,3.521517
177217.1491,2.8485916,-1.150051248,0.67281109,3.5214026
177218.5069,2.8475797,-1.150052024,0.67372733,3.521307
177219.9101,2.8465683,-1.150049746,0.67477709,3.5213454
177221.2407,2.8455374,-1.150048436,0.67559785,3.5211353
177222.6371,2.8444874,-1.15004918,0.67655224,3.5210397
177223.9277,2.8434758,-1.150047633,0.67748749,3.5209634
177225.3723,2.8424642,-1.150046218,0.67849916,3.5209634
177226.6731,2.8414338,-1.150049435,0.67935807,3.5207918
177228.0567,2.8404028,-1.15004966,0.68017882,3.5205817
177229.4635,2.8393912,-1.1500504,0.68122864,3.5206199
177230.9063,2.8383415,-1.150052583,0.68214482,3.5204864
177232.2351,2.8373296,-1.150050007,0.68311828,3.520448
177233.7545,2.8362989,-1.150048032,0.68411082,3.5204098
177235.1121,2.8352876,-1.150049156,0.68493158,3.5202191
177236.4547,2.8342757,-1.150049829,0.68586683,3.5201426
177237.9193,2.833226,-1.150049135,0.6868785,3.5201044
177239.2975,2.8321762,-1.150051961,0.68773741,3.5199137
177240.8617,2.8311646,-1.150051721,0.6888445,3.520009
177242.2647,2.8301146,-1.150053151,0.68974161,3.5198562
177243.8481,2.8290458,-1.150051442,0.69071501,3.5197608
177245.3043,2.8279769,-1.150050638,0.69172668,3.5197036
177246.8461,2.8269653,-1.150051025,0.69268101,3.5196464
177248.2699,2.8258965,-1.150050672,0.69373083,3.5196273
177249.8177,2.8247893,-1.150051111,0.69468522,3.5194745
177251.4397,2.8237586,-1.150050186,0.69573504,3.5194936
177252.9131,2.8227088,-1.150055215,0.69670844,3.5194173
177254.6283,2.8216782,-1.15005346,0.69770104,3.5193791
177256.0345,2.8206472,-1.150049639,0.69857901,3.5192263
177257.7133,2.8195975,-1.150050616,0.69959068,3.5191882
177259.3111,2.8185859,-1.150050036,0.70054501,3.5191309
177260.8923,2.8175743,-1.150048566,0.7016139,3.5191882
177262.2129,2.8165436,-1.150049292,0.70239651,3.51894
177263.9205,2.8155317,-1.150050712,0.70348448,3.5190163
177265.4551,2.8145201,-1.150052886,0.70445794,3.5189781
177267.1803,2.8135085,-1.150050902,0.70550776,3.5190163
177268.7717,2.8124588,-1.150050592,0.70642394,3.5188828
177270.3795,2.8114471,-1.150050441,0.70734012,3.5187874
177272.1249,2.810359,-1.150050862,0.7083708,3.5187299
177273.9177,2.8093476,-1.150050772,0.70932519,3.5186727
177275.5327,2.8082595,-1.150053575,0.71037501,3.5186346
177277.3883,2.8071907,-1.15005663,0.7114439,3.5186346
177279.1809,2.80616,-1.15005378,0.71251279,3.5186727
177280.9303,2.8051293,-1.150053685,0.71344805,3.5185773
177282.8049,2.8041177,-1.15005255,0.71447879,3.5185964
177284.5591,2.803087,-1.150052356,0.71550947,3.5185964
177286.2661,2.8020563,-1.150053666,0.71642572,3.518482
177288.2157,2.8010445,-1.150055053,0.71738005,3.5184245
177290.0125,2.8000138,-1.150051514,0.71829623,3.5183101
177292.0407,2.798964,-1.150051775,0.71936512,3.5183291
177293.7979,2.7979524,-1.150052336,0.72030044,3.5182528
177295.7083,2.7969217,-1.150050048,0.72129297,3.5182147
177297.6675,2.7959101,-1.150051442,0.72236186,3.5182719
177299.4853,2.7948601,-1.150054194,0.72320169,3.5180619
177301.5149,2.7938485,-1.150052777,0.72440422,3.5182528
177303.5541,2.7928178,-1.150051695,0.72524405,3.5180619
177305.5177,2.7918062,-1.150052708,0.72633201,3.5181382
177307.6067,2.7906418,-1.150053213,0.72726732,3.517909
177309.8831,2.7896113,-1.150052702,0.72831708,3.5179284
177311.8959,2.7885995,-1.15005523,0.72929054,3.51789
177314.0735,2.7874923,-1.150053695,0.73032129,3.5178137
177316.4123,2.7863853,-1.150053994,0.73139018,3.5177755
177318.3919,2.7853546,-1.150053759,0.73238271,3.5177374
177320.9031,2.784343,-1.150053302,0.73343253,3.5177755
177322.8231,2.7833314,-1.150053796,0.73440599,3.5177374
177325.1469,2.7823195,-1.150053095,0.73524582,3.5175655
177327.2169,2.7812698,-1.150052557,0.73631471,3.5175846
177329.5953,2.7802582,-1.150052561,0.73724997,3.5175083
177331.8541,2.7792087,-1.150050805,0.73826158,3.5174701
177333.9455,2.7781396,-1.150051958,0.73913962,3.5172791
177336.4399,2.7771282,-1.150050387,0.74022758,3.5173557
177338.6793,2.7761164,-1.150048984,0.74104834,3.5171647
177340.9305,2.7751048,-1.150049436,0.74200273,3.5171075
177343.3193,2.774055,-1.150048331,0.74309069,3.5171456
177345.7633,2.7730434,-1.150052679,0.74402601,3.5170693
177347.9741,2.7719362,-1.150052456,0.74494219,3.5168784
177350.4631,2.7708673,-1.150051592,0.74591565,3.516783
177352.7319,2.7698557,-1.15005346,0.74696541,3.5168211
177355.2194,2.7688439,-1.150053555,0.74784344,3.5166874
177357.5586,2.7677751,-1.150052868,0.74881691,3.516592
177360.0046,2.7667446,-1.150049872,0.74975216,3.5164967
177362.3402,2.7657328,-1.150051819,0.75072563,3.5164583
177364.6308,2.7647209,-1.150048531,0.75169909,3.5164201
177367.0476,2.7637095,-1.1500483,0.75263435,3.5163438
177369.3244,2.7626595,-1.150050377,0.75353146,3.516191
177371.83,2.7616098,-1.150049631,0.75448585,3.5160956
177374.1078,2.76056,-1.150050224,0.75536388,3.515924
