Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
137287.4279,3.7287261,0.0,0.13164689,3.860373
137294.1337,3.7287071,0.0,0.13158962,3.8602967
137294.1821,3.7284017,-9.47e-10,0.13166597,3.8600676
137294.1839,3.7217259,-0.00012713718800000002,0.13428336,3.8560092
137294.1841,3.7206032,-0.001149975915,0.13476439,3.8553677
137294.1843,3.7192583,-0.00114998867,0.13496809,3.8542264
137294.1859,3.7181699,-0.001150001228,0.13544527,3.8536153
137294.2257,3.7171583,-0.0011500044229999999,0.13523531,3.8523936
137295.5085,3.7160892,-0.001150008961,0.13546436,3.8515537
137298.3631,3.7150588,-0.001150017939,0.1359988,3.8510575
137301.6409,3.714047,-0.001150024462,0.13636146,3.8504083
137306.0169,3.7130163,-0.001150028933,0.13662869,3.8496449
137310.6005,3.7120044,-0.00115003631,0.13706769,3.8490722
137315.9275,3.7109735,-0.001150038315,0.13741127,3.8483849
137321.3731,3.7099428,-0.001150040596,0.13785027,3.8477931
137327.7015,3.7089312,-0.0011500397950000001,0.13815567,3.8470869
137334.2111,3.7079005,-0.001150039302,0.13861376,3.8465142
137341.0741,3.7068503,-0.001150038798,0.13903369,3.8458841
137348.5393,3.7058008,-0.001150041337,0.13932,3.8451207
137356.0449,3.7047698,-0.001150044062,0.13970174,3.8444717
137364.2225,3.703758,-0.001150046555,0.14010258,3.8438606
137372.4405,3.7027082,-0.001150047534,0.14048432,3.8431926
137381.7727,3.7016966,-0.0011500462010000001,0.14084698,3.8425436
137391.2521,3.700666,-0.0011500457550000002,0.14130507,3.8419709
137401.1331,3.6996541,-0.001150044934,0.14170592,3.8413601
137411.6975,3.6985469,-0.001150046444,0.14204949,3.8405964
137423.8533,3.6975353,-0.001150048948,0.14241214,3.8399475
137435.6929,3.6965234,-0.0011500515140000001,0.14273663,3.8392601
137447.5437,3.6954546,-0.00115005005,0.1430802,3.8385348
137461.4943,3.6944048,-0.00115005193,0.1435383,3.8379431
137476.0403,3.693393,-0.001150053547,0.14390096,3.8372939
137489.3749,3.6923814,-0.0011500526639999999,0.14414909,3.8365304
137505.8319,3.6913505,-0.001150053704,0.14441632,3.8357668
137523.0533,3.6903389,-0.001150051651,0.14487441,3.8352132
137538.8349,3.689327,-0.0011500524519999999,0.14510345,3.8344305
137559.2801,3.6883154,-0.001150055351,0.14531343,3.8336289
137578.9345,3.6873035,-0.001150056655,0.1456379,3.8329415
137599.6585,3.6862919,-0.0011500534120000001,0.14596239,3.8322544
137619.5009,3.685185,-0.001150054842,0.1462487,3.8314335
137644.1381,3.6841731,-0.001150057297,0.14640141,3.8305745
137669.6315,3.6831613,-0.001150058641,0.14661136,3.8297727
137695.2557,3.6821496,-0.00115005986,0.1468595,3.8290091
137722.2485,3.6811187,-0.00115005826,0.14701219,3.828131
137750.2164,3.680088,-0.0011500561469999998,0.14708854,3.8271766
137779.6544,3.679038,-0.001150052034,0.14727941,3.8263175
137808.0178,3.6780264,-0.001150053216,0.14743212,3.8254585
137839.0082,3.6769383,-0.001150054827,0.1476039,3.8245423
137872.7848,3.6759074,-0.0011500551910000002,0.14766116,3.8235686
137905.9492,3.6748958,-0.001150056959,0.14769934,3.8225951
137937.531,3.6738651,-0.00115005614,0.14783294,3.821698
137970.24,3.6728535,-0.0011500556509999999,0.14789021,3.8207436
138003.1576,3.6718414,-0.001150056656,0.14794748,3.8197889
138037.2476,3.6707916,-0.0011500562940000001,0.14796656,3.8187582
138073.6454,3.66978,-0.001150057529,0.14811926,3.8178992
138107.1412,3.6687682,-0.001150056087,0.14813834,3.8169065
138140.3136,3.6677182,-0.001150054888,0.14838648,3.8161047
138176.5366,3.6666682,-0.001150054079,0.14829105,3.8149593
138194.134,3.6666684,-0.0011500570020000001,0.14811926,3.8147876
138194.1822,3.6785588,0.0,0.14441632,3.8229752
138195.9606,3.6797059,0.0,0.1438437,3.8235495
138199.5902,3.6807556,0.0,0.14332834,3.824084
138204.2058,3.6817675,0.0,0.14288934,3.8246567
138209.7384,3.6827981,0.0,0.14246941,3.8252676
138216.0596,3.6838291,0.0,0.1421831,3.8260121
138222.4782,3.6848407,0.0,0.14164865,3.8264894
138230.1308,3.6858523,0.0,0.14117147,3.8270237
138237.489,3.6868641,0.0,0.14073245,3.8275967
138247.8158,3.6878757,0.0,0.14040798,3.8282838
138257.0624,3.6888874,0.0,0.13983536,3.8287227
138267.328,3.689918,0.0,0.13933909,3.8292572
138280.0332,3.690968,0.0,0.13890007,3.8298681
138292.9384,3.691999,0.0,0.1382702,3.8302691
138309.4852,3.6930106,0.0,0.13786936,3.8308799
138325.1452,3.6940796,0.0,0.13723947,3.8313191
138344.9754,3.6950912,0.0,0.13668594,3.8317771
138367.3706,3.696141,0.0,0.13618967,3.8323307
138391.9825,3.6971529,0.0,0.13571249,3.8328652
138422.8375,3.6981645,0.0,0.13517804,3.8333426
138457.3417,3.6991951,0.0,0.1346436,3.8338387
138502.7783,3.7002068,0.0,0.13422367,3.8344305
138555.6211,3.7012186,0.0,0.13353653,3.8347552
138555.8355,3.7001877,0.0,0.1338992,3.8340869
138558.2793,3.7011993,0.0,0.13347927,3.8346786
138618.2793,3.7017338,0.0,0.13321204,3.8349459
138678.2793,3.7023637,0.0,0.13288756,3.8352513
138738.2793,3.7028029,0.0,0.13271578,3.8355186
138798.2793,3.7030702,0.0,0.13262033,3.8356905
138858.2793,3.7034709,0.0,0.13233402,3.8358049
138917.1847,3.7035856,0.0,0.13233402,3.8359196
