Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
116605.4757,4.0675778,0.0,0.091658913,4.1592369
116605.5241,4.0672531,-7.630000000000001e-10,0.091754347,4.16
116605.5259,4.0600786,-0.00012712735,0.094278142,4.154357
116605.5261,4.0587959,-0.001150007743,0.094839334,4.1536355
116605.5263,4.0577283,-0.00114993133,0.095190071,4.1529183
116605.5285,4.0567164,-0.0011500163020000001,0.09549547,4.1522121
116605.5425,4.0557051,-0.001150011538,0.095419116,4.151124
116605.8099,4.0546737,-0.0011500144039999999,0.095018283,4.1496921
116607.1249,4.0536427,-0.0011500193,0.09549547,4.1491385
116609.6799,4.0525932,-0.0011500285269999998,0.096049003,4.1486421
116612.9317,4.0515623,-0.0011500333089999998,0.096449837,4.1480122
116616.4911,4.0505319,-0.001150036131,0.096774317,4.147306
116620.8501,4.0495009,-0.001150040537,0.097289681,4.1467905
116625.4689,4.0484891,-0.0011500441489999999,0.097537816,4.1460271
116629.9611,4.0474777,-0.001150044169,0.098014995,4.1454926
116636.1585,4.0464277,-0.001150046419,0.098454006,4.1448817
116642.5237,4.0453968,-0.0011500470739999999,0.098816663,4.1442137
116648.5427,4.0443854,-0.001150049375,0.099217497,4.1436028
116654.8693,4.0433736,-0.001150049129,0.099694684,4.1430683
116661.8761,4.0423236,-0.00115005047,0.10003825,4.1423616
116670.4249,4.0412927,-0.001150048692,0.10047726,4.1417699
116678.8341,4.0402045,-0.001150048944,0.10085901,4.1410637
116687.8393,4.0391545,-0.001150052013,0.10143163,4.1405864
116697.5127,4.038105,-0.001150052963,0.10167976,4.1397848
116707.8731,4.0370932,-0.001150050731,0.10215695,4.1392503
116718.3391,4.0360436,-0.001150051782,0.10261504,4.1386585
116729.9207,4.0350318,-0.0011500498459999999,0.10303497,4.1380668
116739.9287,4.0339437,-0.001150051662,0.1034358,4.1373796
116740.1747,4.0349936,-0.001150053686,0.10297771,4.1379714
116741.6775,4.0339818,-0.001150051221,0.10345489,4.1374369
116754.9787,4.0329704,-0.001150051415,0.10381754,4.1367879
116768.0457,4.031939,-0.0011500516919999999,0.10414203,4.1360812
116782.8875,4.0309086,-0.00115005418,0.10452378,4.1354322
116798.0545,4.0298967,-0.0011500542270000001,0.10490552,4.1348023
116812.9273,4.0288854,-0.001150053555,0.10526819,4.1341534
116813.2157,4.0299349,-0.001150049216,0.10492461,4.1348596
116813.7529,4.0288849,-0.001150051469,0.10542089,4.134306
116831.1617,4.0278735,-0.001150052356,0.10561176,4.1334853
116849.6315,4.0268621,-0.0011500544290000002,0.10597442,4.1328363
116870.4037,4.0258117,-0.001150055022,0.1062989,4.1321106
116891.5153,4.0248003,-0.001150057498,0.10656612,4.1313663
116913.6415,4.0237503,-0.001150058704,0.10696696,4.1307173
116937.0767,4.0227199,-0.001150058975,0.10713875,4.1298585
116960.0518,4.0216503,-0.0011500560319999999,0.10746323,4.1291137
116990.067,4.0206389,-0.001150058432,0.10757776,4.1282167
117016.4356,4.019608,-0.0011500592869999999,0.10782589,4.1274338
117044.3442,4.0185962,-0.001150057693,0.10799768,4.1265941
117073.8882,4.0175653,-0.001150057147,0.10813129,4.1256967
117104.739,4.0165539,-0.001150057012,0.10820764,4.1247616
117135.8746,4.015542,-0.0011500559269999999,0.1082649,4.123807
117167.1284,4.014492,-0.001150057728,0.10843668,4.1229286
117199.504,4.0134616,-0.0011500559660000001,0.10851303,4.1219745
117230.951,4.0124307,-0.001150057576,0.10858938,4.1210198
117264.7228,4.0113807,-0.0011500595360000002,0.10879935,4.1201801
117300.039,4.0103688,-0.001150055335,0.10887569,4.1192446
117332.4614,4.009357,-0.001150055171,0.10897113,4.1183281
117366.5646,4.0083456,-0.00115005775,0.1090093,4.1173549
117398.9343,4.0072956,-0.001150059068,0.10895205,4.1162477
117434.1203,4.0062838,-0.001150059374,0.10912383,4.1154075
117468.6453,4.0051575,-0.001150059624,0.10921927,4.1143765
117503.5397,4.0041461,-0.001150058905,0.10920018,4.1133461
117505.4757,4.0045085,-0.00115005819,0.10899021,4.1134987
117505.5239,4.0173836,0.0,0.10538271,4.1227665
117505.5265,4.0163431,0.0,0.10543997,4.1217833
117505.8263,4.017374,0.0,0.10538271,4.122757
117507.2799,4.018405,0.0,0.10481009,4.1232152
117509.4523,4.0194168,0.0,0.10435199,4.1237688
117512.4275,4.0204287,0.0,0.10395116,4.1243796
117516.2591,4.02144,0.0,0.1034358,4.124876
117520.4629,4.0224519,0.0,0.10295862,4.1254106
117525.3833,4.0235019,0.0,0.10250052,4.1260023
117530.7099,4.0245709,0.0,0.1019279,4.1264987
117537.7421,4.0255823,0.0,0.10146981,4.1270523
117544.5889,4.0266132,0.0,0.10112623,4.1277394
117551.2625,4.0277014,0.0,0.10049635,4.1281977
117560.8909,4.0287127,0.0,0.10017186,4.1288848
117569.1071,4.0298009,0.0,0.099561073,4.1293621
117579.7271,4.0308123,0.0,0.099007539,4.1298199
117590.3301,4.0318432,0.0,0.098511271,4.1303544
117602.1703,4.0328741,0.0,0.098053172,4.1309271
117616.3133,4.0339236,0.0,0.097518727,4.1314425
117631.5837,4.0349355,0.0,0.097098805,4.1320343
117647.5435,4.0359473,0.0,0.096430749,4.1323781
117665.0847,4.0369782,0.0,0.095858127,4.1328363
117687.8287,4.0379901,0.0,0.095400028,4.1333899
