Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
165751.9001,3.3947299,0,0.23439403,3.6291239
165751.9485,3.3944247,-7.10E-07,0.23445129,3.628876
165751.9503,3.3873885,-0.127119573,0.23666149,3.6240499
165751.9505,3.3860254,-1.150033254,0.23770371,3.6237292
165751.9507,3.3845558,-1.150026817,0.23811607,3.6226718
165751.9537,3.3834486,-1.15000721,0.2383642,3.6218128
165751.9657,3.3824177,-1.150005344,0.23838329,3.620801
165752.0785,3.3813488,-1.150005049,0.23786794,3.6192167
165753.2349,3.3802607,-1.150008724,0.23809698,3.6183577
165755.4273,3.3792107,-1.150017432,0.23859325,3.6178041
165758.0415,3.37818,-1.150025503,0.238975,3.6171551
165760.9257,3.3770919,-1.150032558,0.23941401,3.6165059
165764.1387,3.3760803,-1.150034703,0.23977667,3.6158569
165767.7193,3.3750494,-1.150033479,0.24021567,3.6152651
165771.1795,3.3740187,-1.150037169,0.24076921,3.6147878
165774.5225,3.372988,-1.15003657,0.24111278,3.6141007
165778.5447,3.3719571,-1.150037138,0.24157088,3.613528
165782.2877,3.3709455,-1.150038952,0.24208623,3.6130316
165786.4901,3.3699145,-1.150041703,0.2425825,3.6124971
165790.6751,3.3689029,-1.150040435,0.24302152,3.6119244
165794.7577,3.3678913,-1.150042328,0.24359414,3.6114855
165798.8551,3.3668795,-1.150041049,0.24395679,3.6108363
165803.2459,3.3658679,-1.150038359,0.24451032,3.6103783
165807.8189,3.3648562,-1.150041794,0.2451593,3.6100156
165812.7209,3.3638444,-1.150042374,0.24554104,3.6093855
165817.6617,3.3628139,-1.150043627,0.24611366,3.6089275
165822.3899,3.3617449,-1.150045227,0.24659085,3.6083357
165827.4245,3.3606758,-1.150044343,0.24723981,3.6079156
165833.1151,3.3596642,-1.150046372,0.24785061,3.6075149
165838.2201,3.3586335,-1.150044986,0.24828961,3.6069231
165843.0039,3.3576026,-1.150045828,0.24893859,3.6065412
165848.5959,3.356591,-1.150044392,0.24951121,3.6061022
165854.4594,3.3555412,-1.150044721,0.25019833,3.6057396
165859.9018,3.3544531,-1.150046178,0.25079006,3.6052432
165866.0582,3.3534415,-1.150046177,0.25134358,3.604785
165871.6586,3.3524106,-1.150045763,0.25208798,3.6044986
165878.0152,3.3513989,-1.150045838,0.25271788,3.6041169
165883.6474,3.3503873,-1.150041558,0.25336686,3.6037543
165890.006,3.3493183,-1.150044495,0.25407308,3.6033914
165896.0746,3.3482304,-1.150044182,0.25468388,3.6029143
165903.013,3.3471806,-1.150044468,0.25540918,3.6025898
165909.6126,3.3461118,-1.15004599,0.25617269,3.6022844
165916.5684,3.3450427,-1.15004485,0.25697434,3.6020172
165923.0346,3.3440311,-1.150046031,0.25754696,3.601578
