Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
169357.0023,3.2677963,0.0,0.33444986,3.602246
169357.0507,3.2679491,-5.52e-10,0.33433533,3.6022844
169357.0525,3.2602346,-0.000127148472,0.3371155,3.5973501
169357.0527,3.2591925,-0.001150006405,0.33735603,3.5965486
169357.0529,3.2581184,-0.0011499873309999999,0.33796194,3.5960803
169357.0545,3.2570493,-0.001149996883,0.33822915,3.5952785
169357.0597,3.2560377,-0.0011500075640000001,0.33842003,3.5944576
169357.0825,3.2550068,-0.0011500028069999998,0.33819097,3.5931978
169357.1359,3.2539186,-0.0011500098430000001,0.33807647,3.5919952
169357.3521,3.2529068,-0.001150005237,0.33777106,3.590678
169358.1521,3.2518761,-0.00115001193,0.33800012,3.5898762
169359.6879,3.2508645,-0.0011500183500000002,0.33843911,3.5893035
169361.4395,3.2498527,-0.001150023218,0.33880177,3.5886545
169363.5001,3.2488029,-0.0011500258430000001,0.33925986,3.5880628
169365.6471,3.2477722,-0.001150029583,0.33975613,3.5875282
169368.0783,3.2467604,-0.0011500315109999998,0.34025243,3.5870128
169370.3545,3.2457488,-0.001150033461,0.34082502,3.5865738
169373.1633,3.2447371,-0.001150032129,0.34132132,3.5860584
169375.6613,3.2437253,-0.001150034331,0.34183666,3.585562
169378.4207,3.2426565,-0.001150034487,0.34256199,3.5852184
169381.5023,3.2416446,-0.0011500367709999999,0.34288648,3.5845311
169384.2493,3.2406139,-0.001150037149,0.34363088,3.5842447
169387.0013,3.2395642,-0.00115004033,0.34397444,3.5835385
169390.1849,3.2385526,-0.001150038067,0.34462342,3.5831759
169393.1221,3.2375407,-0.0011500391,0.34531057,3.5828514
169395.9713,3.23651,-0.0011500389740000002,0.34592137,3.5824313
169399.1413,3.2354412,-0.001150041009,0.34653214,3.5819733
169402.4249,3.2343912,-0.001150040255,0.34720021,3.5815914
169405.6709,3.2333605,-0.001150040435,0.34788734,3.5812478
169409.0197,3.2323489,-0.001150044302,0.34851724,3.5808661
169412.1257,3.2312608,-0.0011500450099999999,0.34912804,3.5803888
169415.7915,3.2301919,-0.001150043399,0.34985334,3.5800452
169419.2147,3.2291803,-0.001150045107,0.35054049,3.5797207
169422.5599,3.2281113,-0.001150046989,0.3514185,3.5795298
169426.3183,3.2270424,-0.001150043261,0.35210565,3.5791481
169429.7157,3.2260306,-0.00115004078,0.35267827,3.5787089
169433.3345,3.225019,-0.001150044069,0.35334632,3.5783653
169436.8211,3.2239499,-0.00115004205,0.35418618,3.5781362
169440.4275,3.2229383,-0.0011500424069999999,0.3548924,3.5778308
169444.2735,3.2218885,-0.0011500430010000001,0.35559863,3.5774872
169447.6427,3.2208769,-0.001150040246,0.35634303,3.57722
169451.6751,3.2198651,-0.001150040863,0.35720196,3.5770671
169455.2571,3.2188344,-0.0011500437070000001,0.35790819,3.5767426
169459.1177,3.2178228,-0.001150043666,0.35859534,3.5764182
169462.6367,3.2167921,-0.0011500427449999998,0.35939702,3.576189
169466.7903,3.2157803,-0.0011500460370000001,0.3601605,3.5759408
169470.4427,3.2147686,-0.001150045198,0.36086676,3.5756354
169474.2777,3.213738,-0.0011500423470000001,0.36163023,3.5753682
169478.5827,3.2127073,-0.0011500444809999998,0.36248916,3.5751965
169482.7701,3.2116957,-0.001150046335,0.36327174,3.5749674
169486.4515,3.210665,-0.001150044743,0.36401615,3.574681
169490.5795,3.2096534,-0.001150045634,0.36487508,3.5745285
169494.6125,3.2086225,-0.0011500441029999998,0.36567676,3.5742993
169499.0733,3.2075727,-0.001150042151,0.36651659,3.5740893
169503.5443,3.2065611,-0.001150043605,0.3672801,3.5738411
169507.7711,3.2055111,-0.001150043036,0.36804357,3.5735548
169512.1593,3.2044613,-0.001150046293,0.36901703,3.5734785
169516.5955,3.2034497,-0.001150047777,0.36981872,3.5732684
169521.2857,3.202419,-0.0011500463839999998,0.37058219,3.5730011
169525.9549,3.2013693,-0.001150048309,0.37155566,3.5729249
169530.1803,3.2003193,-0.001150045935,0.37228099,3.5726004
169534.9351,3.1992693,-0.001150047304,0.37325442,3.5725238
169539.6301,3.1982579,-0.001150048343,0.37401792,3.5722759
169544.7847,3.1972082,-0.0011500460539999998,0.3747814,3.5719895
169549.7737,3.1961963,-0.001150049463,0.37571669,3.571913
169554.5991,3.1951466,-0.0011500467320000002,0.3766138,3.5717604
169559.7881,3.1940966,-0.001150047249,0.37754908,3.5716457
169565.0703,3.1930852,-0.00115004592,0.37833166,3.5714169
169570.4537,3.1920161,-0.001150047888,0.37922877,3.571245
169576.0971,3.1910048,-0.001150047962,0.38010678,3.5711114
169581.5717,3.1899738,-0.001150047923,0.38102296,3.5709968
169586.9679,3.1889238,-0.001150049274,0.38188189,3.5708058
169592.8761,3.1879125,-0.001150049586,0.38272175,3.5706341
169598.9717,3.1868434,-0.0011500515769999999,0.38363793,3.5704813
169605.1277,3.1857936,-0.001150048959,0.38455412,3.5703478
169611.4993,3.184782,-0.0011500458090000002,0.38547033,3.5702524
169617.5825,3.1837323,-0.001150047554,0.38632926,3.5700614
169624.7901,3.1826823,-0.0011500465250000001,0.38726452,3.5699468
169631.5529,3.1816516,-0.001150047872,0.38835251,3.5700042
169638.6739,3.1805446,-0.001150047098,0.38921145,3.569756
169646.5631,3.1794946,-0.00115004825,0.39012763,3.5696223
169653.7155,3.1784639,-0.001150047587,0.39102474,3.5694888
169661.2679,3.1774333,-0.0011500476660000001,0.39190274,3.5693359
169668.9577,3.1764026,-0.0011500489650000001,0.39283803,3.5692406
169677.5753,3.1753526,-0.001150047533,0.39367789,3.5690305
169685.5808,3.1743221,-0.001150049106,0.39457497,3.568897
169694.5312,3.1732912,-0.001150048785,0.39551026,3.5688014
169703.684,3.1722605,-0.001150049206,0.39633101,3.5685916
169712.3024,3.1712489,-0.001150048615,0.39732355,3.5685725
169722.0838,3.1702373,-0.001150046327,0.39808705,3.5683243
169731.3506,3.1692255,-0.001150043099,0.39892688,3.5681524
169741.0416,3.1681759,-0.001150046572,0.39982399,3.5679998
169750.9908,3.1671641,-0.001150047738,0.4007211,3.5678852
169760.5458,3.1661334,-0.0011500482249999998,0.40140826,3.5675416
169770.773,3.1651218,-0.001150050847,0.40234354,3.5674653
169780.6836,3.1641099,-0.001150050698,0.40322155,3.5673316
169790.713,3.1630983,-0.00115005056,0.40396595,3.5670643
169801.0766,3.1620104,-0.0011500499420000001,0.40482488,3.5668354
169812.1292,3.1609225,-0.001150050262,0.40566474,3.5665872
169822.7304,3.1598725,-0.001150052087,0.40656182,3.5664344
169833.01,3.1588609,-0.0011500524190000002,0.4073635,3.5662243
169843.0088,3.1578112,-0.001150050477,0.40818426,3.5659955
169852.8874,3.1567996,-0.001150050226,0.40900502,3.5658045
169863.3822,3.1557877,-0.0011500488769999998,0.40982577,3.5656135
169872.6526,3.1547761,-0.001150048933,0.410532,3.5653081
169883.1708,3.1537454,-0.001150050123,0.41150546,3.5652509
169892.8924,3.1527338,-0.001150050559,0.41223076,3.5649645
169902.1936,3.151684,-0.001150046377,0.41312787,3.5648119
